 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.094,0.630,0.024,0.314,0.033,0.388,0.600,0.638,0.620,0.056
model.000.01.pdb,0.154,0.148,0.100,0.690,0.013,0.220,0.107,0.341,0.105,0.100
model.000.02.pdb,0.078,0.643,0.060,0.127,0.065,0.440,0.680,0.500,0.635,0.088
model.000.03.pdb,0.348,0.073,0.292,0.047,0.484,0.133,0.067,0.069,0.052,0.397
model.000.04.pdb,0.067,0.820,0.048,0.167,0.043,0.392,0.729,0.569,0.750,0.077
model.000.05.pdb,0.524,0.110,0.475,0.061,0.531,0.183,0.092,0.111,0.091,0.581
model.000.06.pdb,0.000,0.235,0.000,0.016,0.022,0.000,0.226,0.074,0.242,0.034
model.000.07.pdb,0.443,0.079,0.373,0.042,0.609,0.134,0.086,0.104,0.099,0.493
model.000.08.pdb,0.048,0.673,0.013,0.245,0.023,0.348,0.644,0.543,0.705,0.023
model.000.09.pdb,0.145,0.175,0.129,0.606,0.025,0.256,0.158,0.370,0.136,0.110
