 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.025,0.096,0.375,0.000,0.169,0.000,0.423,0.044,0.000,0.403
model.000.01.pdb,0.234,0.375,0.079,0.152,0.141,0.136,0.032,0.820,0.500,0.077
model.000.02.pdb,0.190,0.352,0.057,0.115,0.131,0.114,0.033,0.706,0.417,0.053
model.000.03.pdb,0.090,0.025,0.619,0.078,0.026,0.101,0.600,0.032,0.000,0.452
model.000.04.pdb,0.026,0.000,0.391,0.123,0.014,0.108,0.508,0.000,0.000,0.273
model.000.05.pdb,0.186,0.360,0.000,0.171,0.123,0.153,0.000,0.673,0.340,0.000
model.000.06.pdb,0.031,0.757,0.024,0.013,0.525,0.013,0.012,0.386,0.200,0.043
model.000.07.pdb,0.000,0.405,0.026,0.000,0.667,0.000,0.039,0.106,0.038,0.048
model.000.08.pdb,0.000,0.341,0.026,0.074,0.310,0.042,0.026,0.106,0.019,0.031
model.000.09.pdb,0.050,0.051,0.384,0.032,0.114,0.032,0.431,0.032,0.000,0.413
