 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.153,0.016,0.145,0.000,0.178,0.012,0.717,0.034,0.185,0.030
model.000.01.pdb,0.037,0.048,0.143,0.377,0.101,0.526,0.000,0.438,0.026,0.061
model.000.02.pdb,0.708,0.231,0.509,0.012,0.667,0.049,0.258,0.047,0.810,0.259
model.000.03.pdb,0.000,0.000,0.025,0.219,0.000,0.080,0.138,0.117,0.000,0.000
model.000.04.pdb,0.561,0.076,0.788,0.141,0.736,0.136,0.197,0.128,0.566,0.119
model.000.05.pdb,0.011,0.027,0.065,0.343,0.032,0.426,0.023,0.478,0.011,0.039
model.000.06.pdb,0.556,0.065,0.760,0.120,0.740,0.145,0.176,0.136,0.560,0.111
model.000.07.pdb,0.080,0.069,0.207,0.439,0.153,0.719,0.000,0.635,0.060,0.095
model.000.08.pdb,0.630,0.148,0.736,0.100,0.750,0.138,0.217,0.116,0.608,0.194
model.000.09.pdb,0.022,0.014,0.078,0.368,0.055,0.500,0.023,0.507,0.012,0.026
