 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.370,0.520,0.023,0.011,0.344,0.000,0.000,0.292,0.553
model.000.01.pdb,0.554,0.103,0.000,0.369,0.460,0.000,0.286,0.647,0.062,0.000
model.000.02.pdb,0.012,0.250,0.358,0.024,0.012,0.625,0.000,0.013,0.633,0.353
model.000.03.pdb,0.040,0.571,0.097,0.026,0.221,0.028,0.241,0.154,0.070,0.121
model.000.04.pdb,0.323,0.156,0.000,0.275,0.655,0.012,0.455,0.537,0.012,0.000
model.000.05.pdb,0.020,0.222,0.579,0.020,0.029,0.200,0.093,0.000,0.181,0.526
model.000.06.pdb,0.024,0.075,0.510,0.024,0.011,0.081,0.083,0.000,0.079,0.449
model.000.07.pdb,0.677,0.034,0.011,0.582,0.473,0.099,0.273,0.530,0.097,0.011
model.000.08.pdb,0.219,0.269,0.000,0.111,0.407,0.000,0.358,0.415,0.000,0.000
model.000.09.pdb,0.012,0.213,0.652,0.023,0.011,0.224,0.053,0.000,0.217,0.698
