 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.254,0.011,0.714,0.346,0.263,0.194,0.529,0.328,0.385,0.000
model.000.01.pdb,0.194,0.607,0.000,0.000,0.000,0.014,0.000,0.182,0.106,0.149
model.000.02.pdb,0.339,0.012,0.478,0.650,0.115,0.148,0.298,0.281,0.308,0.000
model.000.03.pdb,0.340,0.125,0.185,0.051,0.306,0.000,0.129,0.408,0.524,0.000
model.000.04.pdb,0.145,0.435,0.000,0.000,0.091,0.000,0.000,0.132,0.108,0.118
model.000.05.pdb,0.134,0.010,0.483,0.273,0.410,0.275,0.736,0.182,0.211,0.071
model.000.06.pdb,0.055,0.012,0.321,0.193,0.250,0.333,0.551,0.071,0.077,0.138
model.000.07.pdb,0.155,0.597,0.000,0.048,0.047,0.011,0.021,0.067,0.034,0.253
model.000.08.pdb,0.183,0.350,0.000,0.000,0.085,0.000,0.014,0.278,0.208,0.015
model.000.09.pdb,0.145,0.011,0.532,0.373,0.385,0.233,0.660,0.185,0.220,0.000
