 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.609,0.014,0.667,0.276,0.659,0.288,0.681,0.273,0.232,0.283,0.104,0.246,0.250,0.000,0.587
model.000.01.pdb,0.286,0.123,0.204,0.033,0.319,0.556,0.308,0.035,0.055,0.048,0.500,0.083,0.032,0.017,0.292
model.000.02.pdb,0.185,0.345,0.159,0.000,0.226,0.458,0.155,0.000,0.043,0.000,0.674,0.039,0.000,0.103,0.188
model.000.03.pdb,0.429,0.013,0.652,0.333,0.580,0.237,0.735,0.357,0.210,0.339,0.096,0.323,0.350,0.000,0.549
model.000.04.pdb,0.434,0.000,0.600,0.382,0.500,0.211,0.588,0.412,0.268,0.411,0.086,0.200,0.375,0.000,0.630
model.000.05.pdb,0.560,0.000,0.682,0.300,0.638,0.291,0.627,0.298,0.259,0.328,0.114,0.194,0.295,0.000,0.604
model.000.06.pdb,0.380,0.094,0.300,0.030,0.417,0.824,0.298,0.032,0.103,0.043,0.500,0.076,0.029,0.000,0.388
model.000.07.pdb,0.014,0.370,0.062,0.000,0.059,0.048,0.083,0.000,0.000,0.000,0.197,0.271,0.000,0.000,0.043
model.000.08.pdb,0.147,0.386,0.104,0.000,0.185,0.392,0.122,0.000,0.028,0.000,0.625,0.039,0.000,0.101,0.149
model.000.09.pdb,0.351,0.000,0.431,0.571,0.357,0.148,0.439,0.587,0.412,0.600,0.027,0.145,0.560,0.000,0.434
model.000.10.pdb,0.139,0.542,0.103,0.000,0.171,0.339,0.159,0.000,0.024,0.000,0.579,0.095,0.000,0.114,0.156
model.000.11.pdb,0.523,0.030,0.400,0.047,0.500,0.714,0.358,0.033,0.148,0.061,0.367,0.095,0.046,0.000,0.467
model.000.12.pdb,0.440,0.014,0.659,0.263,0.651,0.300,0.833,0.259,0.117,0.250,0.161,0.321,0.259,0.000,0.578
model.000.13.pdb,0.143,0.397,0.101,0.000,0.179,0.352,0.118,0.000,0.027,0.000,0.569,0.038,0.000,0.182,0.145
model.000.14.pdb,0.571,0.000,0.521,0.351,0.462,0.250,0.464,0.327,0.358,0.356,0.085,0.145,0.322,0.000,0.551
