 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,1.000,0.175,0.255,0.500,0.422,0.513,0.340,0.233,0.357,0.500,0.000,0.000,0.314,0.105,0.164
model.000.01.pdb,0.175,1.000,0.254,0.154,0.145,0.121,0.139,0.290,0.043,0.250,0.000,0.179,0.155,0.054,0.295
model.000.02.pdb,0.255,0.254,1.000,0.286,0.246,0.365,0.113,0.720,0.150,0.385,0.000,0.000,0.097,0.389,0.041
model.000.03.pdb,0.500,0.154,0.286,1.000,0.714,0.675,0.471,0.262,0.585,0.581,0.000,0.000,0.364,0.109,0.059
model.000.04.pdb,0.422,0.145,0.246,0.714,1.000,0.651,0.580,0.229,0.605,0.600,0.000,0.000,0.491,0.087,0.056
model.000.05.pdb,0.513,0.121,0.365,0.675,0.651,1.000,0.423,0.328,0.488,0.675,0.000,0.000,0.321,0.148,0.044
model.000.06.pdb,0.340,0.139,0.113,0.471,0.580,0.423,1.000,0.127,0.500,0.364,0.000,0.013,0.745,0.054,0.197
model.000.07.pdb,0.233,0.290,0.720,0.262,0.229,0.328,0.127,1.000,0.145,0.367,0.000,0.012,0.099,0.417,0.075
model.000.08.pdb,0.357,0.043,0.150,0.585,0.605,0.488,0.500,0.145,1.000,0.327,0.000,0.000,0.412,0.097,0.030
model.000.09.pdb,0.500,0.250,0.385,0.581,0.600,0.675,0.364,0.367,0.327,1.000,0.000,0.000,0.293,0.092,0.143
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.047,0.000,0.065,0.000
model.000.11.pdb,0.000,0.179,0.000,0.000,0.000,0.000,0.013,0.012,0.000,0.000,0.047,1.000,0.013,0.000,0.267
model.000.12.pdb,0.314,0.155,0.097,0.364,0.491,0.321,0.745,0.099,0.412,0.293,0.000,0.013,1.000,0.054,0.234
model.000.13.pdb,0.105,0.054,0.389,0.109,0.087,0.148,0.054,0.417,0.097,0.092,0.065,0.000,0.054,1.000,0.000
model.000.14.pdb,0.164,0.295,0.041,0.059,0.056,0.044,0.197,0.075,0.030,0.143,0.000,0.267,0.234,0.000,1.000
