 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.065,0.275,0.000,0.213,0.419,0.193,0.261,0.277,0.212,0.000,0.295,0.463,0.404,0.246,0.326
model.000.01.pdb,0.209,0.290,0.000,0.099,0.118,0.221,0.123,0.154,0.219,0.234,0.091,0.136,0.141,0.062,0.086
model.000.02.pdb,0.013,0.604,0.039,0.062,0.197,0.081,0.077,0.636,0.596,0.206,0.302,0.180,0.099,0.078,0.106
model.000.03.pdb,0.057,0.281,0.087,0.323,0.605,0.226,0.320,0.308,0.246,0.000,0.667,0.744,0.480,0.317,0.468
model.000.04.pdb,0.130,0.222,0.129,0.433,0.738,0.311,0.429,0.263,0.210,0.000,0.605,0.714,0.560,0.456,0.622
model.000.05.pdb,0.058,0.286,0.028,0.266,0.545,0.230,0.300,0.396,0.296,0.029,0.600,0.595,0.377,0.279,0.417
model.000.06.pdb,0.266,0.096,0.171,0.679,0.617,0.509,0.490,0.136,0.099,0.000,0.412,0.596,0.653,0.623,0.727
model.000.07.pdb,0.035,0.673,0.035,0.067,0.203,0.098,0.096,0.547,0.604,0.265,0.254,0.171,0.114,0.069,0.107
model.000.08.pdb,0.076,0.129,0.180,0.411,0.571,0.217,0.312,0.204,0.153,0.000,0.550,0.625,0.511,0.407,0.535
model.000.09.pdb,0.088,0.352,0.000,0.242,0.468,0.267,0.320,0.333,0.291,0.029,0.444,0.511,0.370,0.254,0.353
model.000.10.pdb,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000
model.000.11.pdb,0.258,0.013,0.068,0.062,0.000,0.096,0.000,0.000,0.014,0.169,0.000,0.000,0.000,0.037,0.000
model.000.12.pdb,0.350,0.081,0.188,0.679,0.617,0.596,0.587,0.119,0.114,0.000,0.358,0.500,0.688,0.686,0.767
model.000.13.pdb,0.000,0.357,0.026,0.037,0.108,0.000,0.000,0.365,0.396,0.293,0.153,0.076,0.055,0.051,0.059
model.000.14.pdb,0.592,0.055,0.068,0.265,0.090,0.404,0.207,0.014,0.042,0.027,0.030,0.091,0.219,0.203,0.159
