 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.400,0.032,0.341,0.000,0.442,0.514,0.308,0.000,0.074,0.000
model.000.01.pdb,0.164,0.129,0.321,0.164,0.283,0.092,0.383,0.175,0.014,0.141
model.000.02.pdb,0.630,0.000,0.578,0.271,0.574,0.283,0.569,0.246,0.296,0.258
model.000.03.pdb,0.420,0.091,0.340,0.014,0.429,0.684,0.333,0.015,0.100,0.014
model.000.04.pdb,0.339,0.188,0.268,0.014,0.370,0.659,0.290,0.014,0.077,0.026
model.000.05.pdb,0.489,0.060,0.347,0.045,0.468,0.703,0.339,0.031,0.161,0.043
model.000.06.pdb,0.182,0.317,0.121,0.000,0.203,0.420,0.169,0.000,0.028,0.000
model.000.07.pdb,0.574,0.024,0.528,0.349,0.500,0.258,0.636,0.328,0.356,0.354
model.000.08.pdb,0.259,0.131,0.164,0.000,0.264,0.564,0.159,0.000,0.086,0.000
model.000.09.pdb,0.449,0.075,0.457,0.044,0.556,0.600,0.490,0.031,0.082,0.057
