 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.063,0.682,0.064,0.159,0.543,0.561,0.025,0.368,0.151,0.361
model.000.01.pdb,0.129,0.095,0.592,0.531,0.015,0.183,0.520,0.074,0.580,0.083
model.000.02.pdb,0.042,0.711,0.072,0.183,0.442,0.455,0.014,0.327,0.190,0.345
model.000.03.pdb,0.164,0.545,0.100,0.138,0.275,0.660,0.071,0.469,0.200,0.510
model.000.04.pdb,0.099,0.511,0.116,0.194,0.354,0.509,0.071,0.309,0.219,0.351
model.000.05.pdb,0.062,0.087,0.714,0.620,0.014,0.154,0.608,0.026,0.635,0.037
model.000.06.pdb,0.068,0.478,0.013,0.014,0.413,0.431,0.000,0.385,0.040,0.400
model.000.07.pdb,0.103,0.121,0.510,0.578,0.051,0.194,0.469,0.030,0.531,0.057
model.000.08.pdb,0.000,0.121,0.000,0.000,0.170,0.081,0.000,0.078,0.000,0.057
model.000.09.pdb,0.159,0.077,0.549,0.520,0.031,0.149,0.510,0.057,0.538,0.053
