 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.211,0.167,0.588,0.242,0.209,0.310,0.105,0.685,0.175,0.242
model.000.01.pdb,0.333,0.145,0.101,0.440,0.520,0.392,0.681,0.103,0.438,0.333
model.000.02.pdb,0.200,0.136,0.636,0.283,0.241,0.367,0.119,0.519,0.226,0.236
model.000.03.pdb,0.340,0.322,0.500,0.340,0.316,0.373,0.164,0.545,0.172,0.420
model.000.04.pdb,0.340,0.182,0.705,0.392,0.339,0.489,0.200,0.635,0.236,0.449
model.000.05.pdb,0.250,0.104,0.093,0.368,0.491,0.328,0.604,0.082,0.415,0.300
model.000.06.pdb,0.050,0.164,0.339,0.076,0.071,0.094,0.000,0.466,0.000,0.127
model.000.07.pdb,0.364,0.103,0.125,0.478,0.532,0.457,0.630,0.123,0.512,0.360
model.000.08.pdb,0.000,0.014,0.108,0.000,0.000,0.000,0.000,0.155,0.000,0.000
model.000.09.pdb,0.275,0.143,0.085,0.404,0.481,0.333,0.667,0.087,0.458,0.281
