 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.438,0.318,0.200,0.293,0.340,0.404,0.391,0.015,0.177,0.263
model.000.01.pdb,0.659,0.319,0.188,0.612,0.562,0.711,0.360,0.029,0.149,0.434
model.000.02.pdb,0.543,0.395,0.254,0.453,0.431,0.531,0.500,0.014,0.190,0.298
model.000.03.pdb,0.148,0.085,0.226,0.097,0.123,0.158,0.267,0.000,0.222,0.121
model.000.04.pdb,0.115,0.357,0.667,0.120,0.113,0.110,0.439,0.284,0.685,0.047
model.000.05.pdb,0.522,0.311,0.197,0.357,0.385,0.480,0.413,0.015,0.156,0.281
model.000.06.pdb,0.375,0.279,0.278,0.241,0.283,0.346,0.419,0.000,0.228,0.211
model.000.07.pdb,0.062,0.184,0.220,0.056,0.000,0.028,0.143,0.619,0.281,0.000
model.000.08.pdb,0.255,0.018,0.000,0.339,0.420,0.304,0.016,0.000,0.000,0.532
model.000.09.pdb,0.089,0.250,0.561,0.095,0.048,0.084,0.328,0.371,0.579,0.023
