 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.310,0.094,0.634,0.312,0.264,0.409,0.129,0.540,0.200,0.340
model.000.01.pdb,0.000,0.109,0.172,0.000,0.000,0.016,0.000,0.279,0.000,0.016
model.000.02.pdb,0.135,0.644,0.246,0.117,0.092,0.082,0.072,0.286,0.049,0.196
model.000.03.pdb,0.302,0.091,0.157,0.510,0.620,0.462,0.615,0.138,0.510,0.375
model.000.04.pdb,0.386,0.288,0.587,0.500,0.404,0.545,0.226,0.509,0.269,0.568
model.000.05.pdb,0.228,0.104,0.079,0.368,0.519,0.328,0.604,0.082,0.471,0.279
model.000.06.pdb,0.176,0.744,0.241,0.133,0.108,0.098,0.056,0.262,0.032,0.214
model.000.07.pdb,0.208,0.179,0.056,0.200,0.288,0.203,0.491,0.075,0.232,0.241
model.000.08.pdb,0.314,0.242,0.646,0.339,0.295,0.370,0.155,0.679,0.180,0.389
model.000.09.pdb,0.275,0.231,0.604,0.327,0.283,0.358,0.143,0.642,0.167,0.377
