 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.129,0.490,0.117,0.133,0.316,0.060,0.357,0.167,0.222,0.227
model.000.01.pdb,0.438,0.158,0.101,0.596,0.083,0.452,0.245,0.081,0.018,0.315
model.000.02.pdb,0.219,0.056,0.635,0.105,0.000,0.000,0.000,0.520,0.383,0.000
model.000.03.pdb,0.271,0.029,0.673,0.141,0.000,0.000,0.000,0.490,0.265,0.000
model.000.04.pdb,0.158,0.145,0.014,0.358,0.069,0.450,0.212,0.016,0.000,0.360
model.000.05.pdb,0.527,0.306,0.197,0.667,0.096,0.382,0.266,0.171,0.092,0.344
model.000.06.pdb,0.152,0.090,0.482,0.051,0.014,0.000,0.043,0.574,0.575,0.013
model.000.07.pdb,0.327,0.489,0.081,0.436,0.131,0.354,0.400,0.076,0.091,0.389
model.000.08.pdb,0.339,0.041,0.720,0.197,0.000,0.014,0.000,0.481,0.245,0.000
model.000.09.pdb,0.393,0.500,0.104,0.474,0.175,0.321,0.415,0.070,0.083,0.404
