 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.562,0.125,0.171,0.500,0.014,0.241,0.125,0.159,0.051,0.167
model.000.01.pdb,0.070,0.058,0.383,0.012,0.014,0.000,0.043,0.321,0.370,0.013
model.000.02.pdb,0.543,0.308,0.130,0.540,0.081,0.260,0.259,0.095,0.036,0.237
model.000.03.pdb,0.136,0.161,0.000,0.328,0.246,0.718,0.309,0.000,0.000,0.540
model.000.04.pdb,0.644,0.246,0.209,0.538,0.061,0.222,0.203,0.180,0.070,0.188
model.000.05.pdb,0.511,0.048,0.389,0.298,0.000,0.053,0.016,0.375,0.146,0.029
model.000.06.pdb,0.538,0.375,0.176,0.623,0.101,0.333,0.305,0.130,0.098,0.302
model.000.07.pdb,0.127,0.214,0.000,0.328,0.241,0.703,0.333,0.000,0.000,0.622
model.000.08.pdb,0.111,0.015,0.027,0.226,0.031,0.442,0.081,0.030,0.000,0.309
model.000.09.pdb,0.147,0.154,0.000,0.355,0.233,0.707,0.293,0.000,0.000,0.538
