 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.500,0.175,0.346,0.127,0.600,0.066,0.340,0.087,0.592,0.617
model.000.01.pdb,0.196,0.018,0.093,0.380,0.326,0.346,0.111,0.306,0.241,0.250
model.000.02.pdb,0.150,0.000,0.043,0.660,0.230,0.647,0.072,0.393,0.141,0.145
model.000.03.pdb,0.358,0.281,0.382,0.103,0.500,0.074,0.400,0.080,0.585,0.577
model.000.04.pdb,0.417,0.302,0.309,0.123,0.451,0.051,0.281,0.027,0.633,0.696
model.000.05.pdb,0.489,0.224,0.298,0.135,0.583,0.076,0.293,0.053,0.673,0.702
model.000.06.pdb,0.326,0.016,0.083,0.500,0.426,0.382,0.100,0.228,0.327,0.315
model.000.07.pdb,0.000,0.000,0.169,0.162,0.060,0.250,0.207,0.451,0.027,0.014
model.000.08.pdb,0.111,0.000,0.042,0.714,0.169,0.735,0.027,0.436,0.108,0.111
model.000.09.pdb,0.380,0.489,0.217,0.064,0.316,0.012,0.233,0.000,0.528,0.549
