 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.029,0.579,0.078,0.158,0.390,0.364,0.031,0.231,0.167,0.255
model.000.01.pdb,0.060,0.245,0.000,0.000,0.349,0.246,0.000,0.250,0.000,0.207
model.000.02.pdb,0.396,0.185,0.028,0.014,0.130,0.317,0.076,0.511,0.028,0.490
model.000.03.pdb,0.037,0.138,0.660,0.778,0.060,0.219,0.421,0.026,0.826,0.051
model.000.04.pdb,0.152,0.435,0.119,0.220,0.189,0.500,0.043,0.373,0.246,0.389
model.000.05.pdb,0.062,0.071,0.680,0.653,0.014,0.154,0.547,0.026,0.667,0.050
model.000.06.pdb,0.500,0.204,0.028,0.014,0.088,0.290,0.075,0.568,0.027,0.542
model.000.07.pdb,0.179,0.030,0.625,0.364,0.000,0.135,0.900,0.074,0.386,0.083
model.000.08.pdb,0.108,0.636,0.095,0.130,0.353,0.611,0.039,0.434,0.171,0.446
model.000.09.pdb,0.111,0.707,0.097,0.152,0.367,0.635,0.041,0.396,0.194,0.411
