,1190.0,1276.0,1262.0,1269.0,1202.0,1266.0,1267.0,1268.0,1245.0,1260.0
1190.0,0.0,0.025,0.125,0.125,0.2,0.125,0.175,0.225,0.225,0.175
1276.0,0.025,0.0,0.075,0.125,0.1,0.175,0.15,0.2,0.05,0.05
1262.0,0.125,0.075,0.0,0.05,0.1,0.175,0.125,0.125,0.125,0.1
1269.0,0.125,0.125,0.05,0.0,0.125,0.225,0.2,0.15,0.275,0.15
1202.0,0.2,0.1,0.1,0.125,0.0,0.15,0.2,0.1,0.1,0.025
1266.0,0.125,0.175,0.175,0.225,0.15,0.0,0.1,0.05,0.15,0.075
1267.0,0.175,0.15,0.125,0.2,0.2,0.1,0.0,0.075,0.1,0.15
1268.0,0.225,0.2,0.125,0.15,0.1,0.05,0.075,0.0,0.1,0.1
1245.0,0.225,0.05,0.125,0.275,0.1,0.15,0.1,0.1,0.0,0.025
1260.0,0.175,0.05,0.1,0.15,0.025,0.075,0.15,0.1,0.025,0.0
