 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.577,0.024,0.071,0.182,0.049,0.056,0.674,0.667,0.306,0.276,0.167,0.092,0.086,0.130,0.000,0.081,0.778,0.750,0.000
model.000.01.pdb,0.322,0.085,0.113,0.654,0.553,0.569,0.628,0.143,0.119,0.000,0.408,0.565,0.696,0.596,0.825,0.000,0.471,0.154,0.082,0.154
model.000.02.pdb,0.000,0.490,0.056,0.093,0.211,0.041,0.065,0.700,0.690,0.241,0.354,0.214,0.121,0.097,0.150,0.000,0.109,0.690,0.667,0.000
model.000.03.pdb,0.027,0.652,0.000,0.090,0.241,0.113,0.131,0.449,0.510,0.250,0.259,0.246,0.185,0.108,0.143,0.000,0.088,0.510,0.500,0.000
model.000.04.pdb,0.041,0.490,0.026,0.118,0.286,0.129,0.113,0.578,0.574,0.136,0.360,0.268,0.167,0.123,0.200,0.000,0.104,0.510,0.560,0.000
model.000.05.pdb,0.400,0.078,0.269,0.704,0.549,0.564,0.490,0.130,0.110,0.000,0.364,0.500,0.585,0.712,0.646,0.013,0.653,0.125,0.076,0.373
model.000.06.pdb,0.000,0.520,0.000,0.000,0.043,0.013,0.015,0.365,0.423,0.500,0.079,0.029,0.000,0.000,0.014,0.000,0.000,0.480,0.472,0.000
model.000.07.pdb,0.254,0.106,0.087,0.547,0.605,0.462,0.571,0.172,0.145,0.000,0.444,0.581,0.682,0.549,0.769,0.000,0.449,0.183,0.103,0.145
model.000.08.pdb,0.000,0.074,0.103,0.000,0.000,0.000,0.000,0.097,0.092,0.200,0.016,0.000,0.000,0.000,0.000,0.045,0.000,0.109,0.136,0.029
model.000.09.pdb,0.339,0.068,0.143,0.673,0.542,0.500,0.449,0.123,0.101,0.000,0.429,0.521,0.646,0.527,0.682,0.000,0.490,0.134,0.081,0.188
model.000.10.pdb,0.234,0.099,0.270,0.673,0.644,0.446,0.479,0.159,0.134,0.000,0.458,0.587,0.549,0.714,0.682,0.000,0.727,0.169,0.096,0.310
model.000.11.pdb,0.298,0.043,0.316,0.708,0.468,0.434,0.435,0.079,0.044,0.000,0.327,0.447,0.480,0.681,0.533,0.000,0.732,0.092,0.042,0.392
model.000.12.pdb,0.276,0.177,0.000,0.155,0.095,0.267,0.179,0.079,0.127,0.108,0.048,0.115,0.213,0.097,0.131,0.000,0.060,0.092,0.119,0.029
model.000.13.pdb,0.667,0.013,0.174,0.517,0.230,0.640,0.385,0.014,0.013,0.000,0.092,0.175,0.333,0.393,0.339,0.071,0.328,0.000,0.000,0.328
model.000.14.pdb,0.159,0.000,0.473,0.143,0.071,0.108,0.059,0.000,0.000,0.000,0.014,0.028,0.067,0.214,0.071,0.190,0.185,0.000,0.000,0.481
model.000.15.pdb,0.456,0.079,0.254,0.750,0.444,0.735,0.562,0.085,0.053,0.000,0.254,0.375,0.537,0.692,0.592,0.013,0.538,0.067,0.037,0.356
model.000.16.pdb,0.068,0.328,0.068,0.303,0.587,0.231,0.321,0.385,0.293,0.056,0.643,0.674,0.472,0.317,0.431,0.000,0.364,0.339,0.274,0.056
model.000.17.pdb,0.013,0.510,0.053,0.075,0.237,0.081,0.094,0.674,0.596,0.134,0.327,0.241,0.164,0.107,0.141,0.000,0.103,0.500,0.612,0.000
model.000.18.pdb,0.580,0.026,0.194,0.582,0.345,0.653,0.479,0.028,0.013,0.000,0.167,0.259,0.491,0.474,0.451,0.000,0.382,0.027,0.000,0.333
model.000.19.pdb,0.136,0.175,0.118,0.431,0.795,0.328,0.457,0.278,0.220,0.000,0.650,0.725,0.531,0.455,0.667,0.000,0.500,0.263,0.169,0.143
