 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.565,0.136,0.615,0.347,0.692,0.123,0.269,0.167,0.125,0.115,0.153,0.050,0.033,0.000,0.000,0.075,0.396,0.718,0.015,0.280
model.000.01.pdb,0.327,0.000,0.185,0.196,0.136,0.000,0.558,0.000,0.362,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.046,0.115,0.000,0.000
model.000.02.pdb,0.188,0.060,0.136,0.296,0.148,0.027,0.228,0.047,0.031,0.059,0.029,0.000,0.426,0.058,0.000,0.041,0.092,0.224,0.059,0.046
model.000.03.pdb,0.162,0.588,0.185,0.176,0.231,0.740,0.026,0.571,0.000,0.519,0.822,0.711,0.055,0.339,0.122,0.623,0.473,0.174,0.414,0.660
model.000.04.pdb,0.444,0.197,0.500,0.500,0.565,0.162,0.220,0.232,0.000,0.175,0.213,0.113,0.190,0.027,0.000,0.099,0.490,0.659,0.028,0.373
model.000.05.pdb,0.101,0.640,0.114,0.110,0.157,0.760,0.000,0.592,0.000,0.596,0.729,0.696,0.099,0.474,0.151,0.673,0.344,0.108,0.509,0.519
model.000.06.pdb,0.185,0.059,0.153,0.315,0.164,0.040,0.203,0.030,0.000,0.043,0.028,0.000,0.478,0.057,0.000,0.041,0.108,0.241,0.090,0.062
model.000.07.pdb,0.038,0.551,0.029,0.087,0.103,0.608,0.000,0.500,0.000,0.510,0.400,0.412,0.241,0.592,0.083,0.688,0.206,0.070,0.791,0.304
model.000.08.pdb,0.647,0.129,0.596,0.560,0.592,0.118,0.472,0.154,0.136,0.111,0.143,0.056,0.136,0.000,0.000,0.077,0.386,0.580,0.013,0.246
model.000.09.pdb,0.673,0.132,0.553,0.652,0.520,0.122,0.490,0.159,0.106,0.114,0.147,0.074,0.123,0.013,0.000,0.093,0.375,0.510,0.026,0.254
model.000.10.pdb,0.660,0.130,0.682,0.481,0.540,0.120,0.375,0.156,0.104,0.113,0.145,0.072,0.072,0.013,0.000,0.078,0.345,0.625,0.026,0.250
model.000.11.pdb,0.188,0.604,0.237,0.206,0.246,0.596,0.041,0.659,0.000,0.625,0.660,0.521,0.090,0.274,0.068,0.464,0.571,0.242,0.345,0.762
model.000.12.pdb,0.254,0.013,0.172,0.258,0.114,0.012,0.368,0.014,0.087,0.013,0.000,0.000,0.210,0.013,0.000,0.012,0.039,0.113,0.026,0.000
model.000.13.pdb,0.653,0.086,0.565,0.562,0.562,0.079,0.442,0.108,0.091,0.069,0.100,0.043,0.143,0.000,0.000,0.080,0.288,0.583,0.027,0.197
model.000.14.pdb,0.123,0.571,0.141,0.118,0.152,0.729,0.000,0.553,0.000,0.560,0.857,0.825,0.028,0.339,0.145,0.640,0.375,0.132,0.418,0.574
model.000.15.pdb,0.421,0.101,0.385,0.630,0.415,0.079,0.389,0.091,0.043,0.069,0.085,0.043,0.309,0.026,0.000,0.095,0.310,0.462,0.027,0.159
model.000.16.pdb,0.543,0.082,0.476,0.204,0.413,0.059,0.300,0.127,0.265,0.098,0.098,0.051,0.000,0.000,0.000,0.014,0.179,0.375,0.000,0.167
model.000.17.pdb,0.729,0.147,0.609,0.571,0.540,0.135,0.453,0.175,0.088,0.129,0.162,0.088,0.121,0.026,0.000,0.092,0.368,0.529,0.039,0.293
model.000.18.pdb,0.047,0.585,0.067,0.064,0.078,0.667,0.000,0.481,0.000,0.604,0.518,0.600,0.212,0.593,0.117,0.712,0.235,0.050,0.700,0.350
model.000.19.pdb,0.328,0.014,0.283,0.109,0.268,0.013,0.246,0.046,0.478,0.028,0.028,0.000,0.000,0.000,0.088,0.000,0.125,0.263,0.000,0.078
