 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.014,0.432,0.125,0.190,0.364,0.345,0.077,0.175,0.217,0.200,0.016,0.014,0.188,0.109,0.327,0.320,0.194,0.578,0.175,0.000
model.000.01.pdb,0.100,0.558,0.118,0.159,0.280,0.640,0.072,0.420,0.222,0.434,0.015,0.014,0.176,0.339,0.622,0.591,0.472,0.630,0.418,0.013
model.000.02.pdb,0.119,0.477,0.156,0.268,0.170,0.569,0.075,0.327,0.293,0.370,0.000,0.000,0.238,0.281,0.420,0.659,0.333,0.553,0.333,0.027
model.000.03.pdb,0.000,0.217,0.102,0.240,0.262,0.076,0.000,0.034,0.222,0.048,0.000,0.000,0.150,0.016,0.088,0.113,0.063,0.231,0.047,0.015
model.000.04.pdb,0.110,0.110,0.731,0.642,0.040,0.185,0.544,0.062,0.685,0.071,0.242,0.375,0.774,0.060,0.087,0.183,0.057,0.127,0.034,0.431
model.000.05.pdb,0.057,0.455,0.106,0.186,0.326,0.436,0.044,0.236,0.233,0.259,0.000,0.000,0.167,0.161,0.373,0.426,0.250,0.636,0.230,0.013
model.000.06.pdb,0.014,0.364,0.150,0.269,0.326,0.293,0.063,0.123,0.296,0.169,0.000,0.000,0.237,0.097,0.269,0.312,0.164,0.447,0.145,0.014
model.000.07.pdb,0.259,0.000,0.440,0.211,0.000,0.068,0.667,0.081,0.237,0.108,0.641,0.667,0.357,0.145,0.015,0.082,0.088,0.029,0.088,0.531
model.000.08.pdb,0.074,0.312,0.000,0.000,0.395,0.345,0.000,0.314,0.000,0.263,0.000,0.000,0.000,0.291,0.380,0.158,0.396,0.224,0.321,0.000
model.000.09.pdb,0.154,0.067,0.648,0.536,0.027,0.131,0.611,0.063,0.552,0.060,0.373,0.526,0.661,0.073,0.049,0.137,0.058,0.086,0.034,0.533
model.000.10.pdb,0.156,0.208,0.000,0.000,0.271,0.234,0.000,0.236,0.000,0.197,0.000,0.000,0.000,0.241,0.273,0.117,0.316,0.125,0.271,0.000
model.000.11.pdb,0.042,0.327,0.000,0.000,0.292,0.250,0.000,0.255,0.014,0.233,0.000,0.000,0.000,0.197,0.340,0.172,0.267,0.237,0.206,0.000
model.000.12.pdb,0.153,0.018,0.523,0.306,0.000,0.123,0.625,0.069,0.360,0.081,0.341,0.444,0.479,0.082,0.049,0.109,0.045,0.065,0.030,0.400
model.000.13.pdb,0.110,0.076,0.633,0.604,0.015,0.162,0.592,0.056,0.588,0.053,0.286,0.393,0.750,0.082,0.055,0.138,0.065,0.097,0.025,0.407
model.000.14.pdb,0.087,0.413,0.194,0.224,0.170,0.569,0.125,0.278,0.316,0.321,0.015,0.029,0.238,0.217,0.392,0.545,0.288,0.553,0.288,0.041
model.000.15.pdb,0.045,0.224,0.232,0.375,0.118,0.316,0.136,0.143,0.400,0.150,0.017,0.047,0.377,0.115,0.179,0.340,0.127,0.333,0.127,0.043
model.000.16.pdb,0.000,0.351,0.054,0.167,0.424,0.161,0.000,0.080,0.154,0.113,0.000,0.000,0.086,0.055,0.191,0.152,0.130,0.318,0.089,0.000
model.000.17.pdb,0.053,0.605,0.068,0.154,0.467,0.500,0.027,0.352,0.179,0.368,0.000,0.000,0.139,0.283,0.500,0.440,0.379,0.711,0.333,0.013
model.000.18.pdb,0.013,0.000,0.364,0.286,0.000,0.013,0.259,0.000,0.288,0.000,0.136,0.259,0.295,0.014,0.000,0.000,0.000,0.000,0.000,0.300
model.000.19.pdb,0.235,0.014,0.456,0.311,0.000,0.072,0.688,0.054,0.312,0.078,0.630,0.800,0.450,0.108,0.013,0.041,0.062,0.025,0.049,0.720
