 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.164,0.047,0.066,0.235,0.143,0.139,0.043,0.453,0.038,0.110,0.119,0.044,0.206,0.024,0.080,0.058,0.000,0.212,0.074,0.055
model.000.01.pdb,0.581,0.163,0.127,0.542,0.667,0.636,0.260,0.000,0.075,0.543,0.077,0.298,0.467,0.072,0.651,0.086,0.265,0.000,0.085,0.136
model.000.02.pdb,0.069,0.347,0.509,0.064,0.068,0.066,0.333,0.310,0.588,0.026,0.661,0.186,0.103,0.509,0.039,0.532,0.000,0.519,0.755,0.551
model.000.03.pdb,0.104,0.312,0.711,0.081,0.101,0.130,0.438,0.123,0.696,0.055,0.579,0.340,0.091,0.702,0.132,0.605,0.015,0.288,0.660,0.622
model.000.04.pdb,0.354,0.038,0.030,0.291,0.457,0.380,0.091,0.000,0.030,0.447,0.013,0.137,0.212,0.014,0.581,0.034,0.372,0.000,0.014,0.032
model.000.05.pdb,0.627,0.358,0.194,0.618,0.604,0.642,0.345,0.038,0.145,0.458,0.179,0.434,0.688,0.156,0.536,0.164,0.185,0.037,0.165,0.262
model.000.06.pdb,0.056,0.280,0.368,0.052,0.013,0.026,0.207,0.480,0.411,0.000,0.542,0.153,0.074,0.350,0.013,0.373,0.000,0.711,0.556,0.370
model.000.07.pdb,0.532,0.130,0.071,0.696,0.480,0.490,0.117,0.145,0.027,0.415,0.073,0.182,0.591,0.026,0.364,0.000,0.158,0.072,0.038,0.060
model.000.08.pdb,0.130,0.426,0.723,0.120,0.127,0.139,0.521,0.132,0.745,0.066,0.649,0.365,0.169,0.680,0.110,0.587,0.000,0.290,0.706,0.711
model.000.09.pdb,0.510,0.158,0.081,0.694,0.491,0.500,0.143,0.152,0.038,0.404,0.094,0.228,0.596,0.037,0.379,0.014,0.127,0.082,0.049,0.070
model.000.10.pdb,0.030,0.094,0.143,0.042,0.000,0.014,0.067,0.789,0.141,0.000,0.250,0.016,0.015,0.087,0.000,0.164,0.000,0.511,0.238,0.097
model.000.11.pdb,0.027,0.123,0.238,0.038,0.000,0.013,0.077,0.644,0.274,0.000,0.379,0.030,0.028,0.209,0.000,0.273,0.000,0.711,0.377,0.233
model.000.12.pdb,0.095,0.400,0.750,0.101,0.078,0.104,0.434,0.212,0.735,0.037,0.764,0.321,0.129,0.673,0.091,0.652,0.000,0.431,0.837,0.667
model.000.13.pdb,0.407,0.083,0.039,0.519,0.418,0.404,0.076,0.210,0.039,0.317,0.070,0.150,0.480,0.038,0.317,0.000,0.111,0.099,0.037,0.042
model.000.14.pdb,0.644,0.189,0.100,0.739,0.767,0.660,0.190,0.043,0.068,0.674,0.084,0.264,0.600,0.067,0.638,0.045,0.259,0.013,0.064,0.123
model.000.15.pdb,0.614,0.304,0.175,0.638,0.490,0.596,0.347,0.094,0.136,0.321,0.160,0.422,0.643,0.132,0.396,0.119,0.066,0.043,0.127,0.228
model.000.16.pdb,0.549,0.133,0.079,0.635,0.620,0.566,0.121,0.130,0.037,0.577,0.067,0.180,0.540,0.037,0.464,0.014,0.177,0.066,0.035,0.068
model.000.17.pdb,0.652,0.250,0.129,0.519,0.500,0.600,0.291,0.000,0.111,0.436,0.095,0.408,0.480,0.093,0.580,0.092,0.207,0.000,0.104,0.172
model.000.18.pdb,0.491,0.133,0.051,0.574,0.473,0.509,0.121,0.114,0.025,0.439,0.067,0.180,0.571,0.024,0.367,0.000,0.123,0.052,0.023,0.054
model.000.19.pdb,0.026,0.131,0.277,0.049,0.012,0.012,0.087,0.491,0.333,0.000,0.433,0.043,0.040,0.284,0.000,0.271,0.000,0.673,0.413,0.215
