 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.400,0.644,0.674,0.125,0.275,0.479,0.340,0.129,0.111,0.192,0.076,0.125,0.204,0.238,0.674,0.457,0.188,0.490,0.000,0.110
model.000.01.pdb,0.047,0.203,0.190,0.000,0.090,0.097,0.032,0.117,0.196,0.077,0.193,0.095,0.107,0.071,0.150,0.085,0.000,0.141,0.000,0.099
model.000.02.pdb,0.185,0.174,0.254,0.167,0.759,0.182,0.233,0.328,0.000,0.621,0.000,0.000,0.440,0.700,0.254,0.370,0.085,0.137,0.250,0.397
model.000.03.pdb,0.357,0.667,0.529,0.113,0.160,0.453,0.327,0.041,0.310,0.107,0.222,0.279,0.076,0.120,0.500,0.237,0.212,0.519,0.000,0.036
model.000.04.pdb,0.000,0.045,0.046,0.000,0.000,0.000,0.000,0.048,0.179,0.012,0.396,0.062,0.000,0.014,0.015,0.000,0.000,0.029,0.000,0.069
model.000.05.pdb,0.170,0.320,0.185,0.078,0.000,0.189,0.113,0.000,0.632,0.000,0.400,0.561,0.000,0.000,0.185,0.035,0.167,0.308,0.000,0.000
model.000.06.pdb,0.047,0.203,0.150,0.017,0.000,0.062,0.032,0.098,0.314,0.037,0.333,0.190,0.000,0.027,0.095,0.016,0.059,0.141,0.000,0.083
model.000.07.pdb,0.172,0.161,0.228,0.109,0.593,0.150,0.204,0.447,0.000,0.635,0.000,0.000,0.537,0.767,0.228,0.354,0.078,0.121,0.127,0.436
model.000.08.pdb,0.056,0.052,0.054,0.000,0.364,0.036,0.059,0.629,0.000,0.480,0.000,0.000,0.625,0.477,0.093,0.125,0.000,0.016,0.091,0.478
model.000.09.pdb,0.108,0.267,0.138,0.032,0.000,0.106,0.062,0.043,0.600,0.011,0.460,0.370,0.000,0.013,0.121,0.015,0.093,0.200,0.000,0.051
model.000.10.pdb,0.230,0.463,0.375,0.079,0.094,0.288,0.200,0.027,0.389,0.057,0.267,0.351,0.045,0.051,0.328,0.125,0.148,0.373,0.000,0.024
model.000.11.pdb,0.222,0.458,0.478,0.054,0.135,0.314,0.189,0.100,0.138,0.092,0.098,0.153,0.130,0.088,0.417,0.235,0.104,0.358,0.000,0.055
model.000.12.pdb,0.622,0.422,0.409,0.395,0.130,0.649,0.629,0.000,0.154,0.100,0.070,0.148,0.019,0.097,0.442,0.295,0.621,0.692,0.000,0.014
model.000.13.pdb,0.000,0.029,0.030,0.000,0.254,0.031,0.000,0.571,0.000,0.361,0.000,0.000,0.326,0.233,0.030,0.033,0.000,0.029,0.169,0.540
model.000.14.pdb,0.302,0.259,0.392,0.192,0.582,0.321,0.347,0.232,0.000,0.458,0.000,0.000,0.362,0.604,0.365,0.535,0.143,0.250,0.125,0.250
model.000.15.pdb,0.015,0.029,0.045,0.000,0.441,0.030,0.032,0.558,0.000,0.527,0.000,0.000,0.442,0.415,0.045,0.049,0.000,0.014,0.321,0.696
model.000.16.pdb,0.087,0.097,0.149,0.115,0.691,0.086,0.143,0.415,0.000,0.673,0.000,0.000,0.458,0.627,0.149,0.241,0.033,0.066,0.368,0.509
model.000.17.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.042
model.000.18.pdb,0.255,0.236,0.347,0.096,0.519,0.250,0.271,0.306,0.000,0.446,0.000,0.000,0.439,0.565,0.347,0.452,0.085,0.186,0.063,0.316
model.000.19.pdb,0.375,0.373,0.478,0.204,0.474,0.367,0.432,0.179,0.015,0.383,0.015,0.030,0.326,0.510,0.478,0.658,0.205,0.309,0.113,0.203
