 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.106,0.511,0.000,0.048,0.000,0.156,0.082,0.000,0.000,0.000
model.000.01.pdb,0.417,0.000,0.000,0.579,0.015,0.063,0.356,0.041,0.553,0.341
model.000.02.pdb,0.549,0.121,0.000,0.392,0.013,0.301,0.600,0.000,0.129,0.129
model.000.03.pdb,0.259,0.000,0.000,0.354,0.014,0.011,0.200,0.244,0.730,0.280
model.000.04.pdb,0.179,0.000,0.101,0.291,0.185,0.056,0.200,0.216,0.346,0.667
model.000.05.pdb,0.115,0.000,0.120,0.197,0.232,0.073,0.143,0.250,0.322,0.592
model.000.06.pdb,0.250,0.111,0.000,0.218,0.000,0.000,0.079,0.115,0.347,0.065
model.000.07.pdb,0.214,0.312,0.000,0.154,0.000,0.120,0.173,0.000,0.035,0.000
model.000.08.pdb,0.022,0.000,0.397,0.037,0.679,0.259,0.077,0.104,0.000,0.188
model.000.09.pdb,0.000,0.207,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000
