 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.490,0.000,0.135,0.609,0.000,0.254,0.271,0.000,0.317,0.024
model.000.01.pdb,0.658,0.000,0.233,0.641,0.000,0.333,0.354,0.000,0.380,0.000
model.000.02.pdb,0.304,0.000,0.500,0.156,0.000,0.088,0.119,0.039,0.162,0.000
model.000.03.pdb,0.067,0.031,0.154,0.016,0.000,0.016,0.048,0.164,0.077,0.000
model.000.04.pdb,0.148,0.000,0.025,0.203,0.000,0.479,0.565,0.000,0.583,0.000
model.000.05.pdb,0.091,0.000,0.224,0.034,0.000,0.034,0.051,0.098,0.065,0.000
model.000.06.pdb,0.069,0.039,0.023,0.083,0.013,0.279,0.295,0.050,0.297,0.000
model.000.07.pdb,0.476,0.000,0.141,0.658,0.000,0.465,0.488,0.000,0.545,0.000
model.000.08.pdb,0.400,0.000,0.104,0.641,0.000,0.524,0.548,0.000,0.533,0.000
model.000.09.pdb,0.000,0.471,0.024,0.000,0.345,0.000,0.000,0.404,0.000,0.410
