 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.174,0.315,0.800,0.241,0.099,0.388,0.104,0.250,0.203,0.000
model.000.01.pdb,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.375
model.000.02.pdb,0.304,0.432,0.281,0.103,0.373,0.176,0.185,0.476,0.465,0.000
model.000.03.pdb,0.104,0.172,0.149,0.288,0.547,0.161,0.679,0.213,0.210,0.000
model.000.04.pdb,0.014,0.067,0.321,0.806,0.224,0.605,0.368,0.050,0.049,0.000
model.000.05.pdb,0.197,0.302,0.274,0.273,0.490,0.222,0.407,0.308,0.302,0.000
model.000.06.pdb,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172
model.000.07.pdb,0.118,0.245,0.357,0.314,0.327,0.370,0.311,0.226,0.200,0.000
model.000.08.pdb,0.375,0.196,0.027,0.000,0.156,0.000,0.038,0.245,0.314,0.000
model.000.09.pdb,0.214,0.119,0.090,0.000,0.000,0.000,0.000,0.042,0.042,0.181
