 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.145,0.000,0.038,0.000,0.000,0.212,0.029,0.013,0.000,0.000
model.000.01.pdb,0.269,0.000,0.000,0.000,0.000,0.241,0.000,0.000,0.000,0.028
model.000.02.pdb,0.051,0.053,0.102,0.052,0.018,0.167,0.019,0.000,0.000,0.061
model.000.03.pdb,0.000,0.348,0.241,0.260,0.487,0.000,0.357,0.550,0.133,0.091
model.000.04.pdb,0.274,0.000,0.025,0.000,0.000,0.404,0.000,0.000,0.000,0.024
model.000.05.pdb,0.000,0.259,0.177,0.211,0.333,0.000,0.235,0.447,0.233,0.130
model.000.06.pdb,0.213,0.000,0.055,0.000,0.000,0.293,0.000,0.000,0.000,0.012
model.000.07.pdb,0.000,0.291,0.810,0.286,0.426,0.000,0.320,0.340,0.000,0.025
model.000.08.pdb,0.081,0.000,0.092,0.000,0.028,0.157,0.043,0.013,0.000,0.000
model.000.09.pdb,0.013,0.101,0.446,0.100,0.241,0.053,0.291,0.188,0.000,0.000
