 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.172,0.312,0.041,0.558,0.089,0.000,0.000,0.000,0.500,0.417
model.000.01.pdb,0.429,0.410,0.147,0.255,0.189,0.000,0.000,0.015,0.365,0.346
model.000.02.pdb,0.255,0.027,0.595,0.000,0.444,0.105,0.015,0.556,0.000,0.000
model.000.03.pdb,0.224,0.719,0.023,0.191,0.042,0.036,0.098,0.000,0.361,0.390
model.000.04.pdb,0.122,0.029,0.260,0.000,0.067,0.229,0.145,0.529,0.000,0.000
model.000.05.pdb,0.000,0.026,0.000,0.016,0.000,0.047,0.145,0.000,0.067,0.086
model.000.06.pdb,0.000,0.000,0.000,0.000,0.000,0.131,0.141,0.033,0.000,0.000
model.000.07.pdb,0.524,0.509,0.108,0.145,0.140,0.000,0.014,0.052,0.226,0.208
model.000.08.pdb,0.250,0.500,0.000,0.231,0.036,0.000,0.000,0.000,0.467,0.512
model.000.09.pdb,0.000,0.000,0.000,0.000,0.000,0.140,0.113,0.074,0.000,0.000
