 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.169,0.197,0.370,0.000,0.000,0.000,0.185,0.000
model.000.01.pdb,0.000,0.000,0.000,0.417,0.232,0.000,0.000,0.138,0.500,0.000
model.000.02.pdb,0.490,0.373,0.065,0.000,0.000,0.365,0.540,0.115,0.000,0.440
model.000.03.pdb,0.000,0.027,0.271,0.121,0.245,0.048,0.014,0.000,0.113,0.015
model.000.04.pdb,0.451,0.547,0.117,0.000,0.000,0.636,0.733,0.015,0.000,0.553
model.000.05.pdb,0.108,0.205,0.024,0.011,0.059,0.139,0.129,0.061,0.033,0.167
model.000.06.pdb,0.000,0.027,0.170,0.065,0.196,0.063,0.014,0.000,0.061,0.015
model.000.07.pdb,0.035,0.015,0.238,0.000,0.000,0.056,0.125,0.000,0.000,0.036
model.000.08.pdb,0.000,0.000,0.463,0.123,0.182,0.016,0.000,0.000,0.079,0.000
model.000.09.pdb,0.063,0.119,0.500,0.000,0.016,0.250,0.183,0.000,0.000,0.138
