 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.560,0.593,0.060,0.000,0.000,0.434,0.673,0.159,0.000,0.571
model.000.01.pdb,0.000,0.000,0.082,0.148,0.291,0.029,0.000,0.000,0.175,0.000
model.000.02.pdb,0.000,0.000,0.000,0.300,0.269,0.000,0.000,0.033,0.380,0.000
model.000.03.pdb,0.000,0.024,0.556,0.000,0.000,0.087,0.125,0.000,0.000,0.041
model.000.04.pdb,0.481,0.517,0.159,0.000,0.000,0.592,0.787,0.056,0.000,0.549
model.000.05.pdb,0.553,0.446,0.000,0.000,0.000,0.246,0.328,0.333,0.000,0.440
model.000.06.pdb,0.000,0.000,0.143,0.308,0.533,0.000,0.000,0.000,0.309,0.000
model.000.07.pdb,0.265,0.382,0.113,0.000,0.000,0.527,0.429,0.000,0.000,0.328
model.000.08.pdb,0.549,0.403,0.029,0.000,0.000,0.283,0.407,0.213,0.000,0.418
model.000.09.pdb,0.000,0.000,0.000,0.591,0.392,0.000,0.000,0.079,0.682,0.000
