 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.309,0.194,0.000,0.045,0.000,0.111,0.152,0.489,0.058,0.164
model.000.01.pdb,0.000,0.000,0.235,0.264,0.333,0.000,0.000,0.000,0.224,0.000
model.000.02.pdb,0.000,0.051,0.545,0.075,0.106,0.106,0.082,0.000,0.041,0.042
model.000.03.pdb,0.000,0.000,0.231,0.236,0.302,0.000,0.000,0.000,0.220,0.000
model.000.04.pdb,0.000,0.014,0.341,0.105,0.231,0.049,0.014,0.000,0.098,0.000
model.000.05.pdb,0.327,0.209,0.015,0.000,0.000,0.145,0.203,0.308,0.000,0.180
model.000.06.pdb,0.000,0.028,0.318,0.033,0.145,0.068,0.015,0.000,0.048,0.016
model.000.07.pdb,0.000,0.013,0.260,0.155,0.308,0.030,0.014,0.000,0.145,0.015
model.000.08.pdb,0.000,0.000,0.000,0.587,0.396,0.000,0.000,0.060,0.750,0.000
model.000.09.pdb,0.026,0.023,0.014,0.351,0.258,0.013,0.000,0.103,0.373,0.000
