 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.440,0.000,0.000,0.641,0.045,0.086,0.413,0.000,0.465,0.340
model.000.01.pdb,0.000,0.095,0.268,0.000,0.143,0.011,0.000,0.018,0.000,0.000
model.000.02.pdb,0.339,0.068,0.000,0.316,0.080,0.456,0.520,0.000,0.104,0.156
model.000.03.pdb,0.281,0.000,0.045,0.383,0.076,0.011,0.222,0.143,0.641,0.391
model.000.04.pdb,0.000,0.030,0.458,0.000,0.183,0.000,0.000,0.143,0.000,0.000
model.000.05.pdb,0.177,0.000,0.000,0.250,0.000,0.000,0.119,0.191,0.455,0.123
model.000.06.pdb,0.213,0.030,0.000,0.294,0.000,0.000,0.136,0.188,0.477,0.121
model.000.07.pdb,0.000,0.276,0.086,0.000,0.027,0.118,0.000,0.000,0.000,0.000
model.000.08.pdb,0.258,0.058,0.000,0.321,0.000,0.000,0.183,0.151,0.500,0.150
model.000.09.pdb,0.000,0.000,0.608,0.000,0.383,0.086,0.000,0.153,0.000,0.027
