 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.014,0.100,0.119,0.000,0.110,0.057,0.014,0.259,0.074,0.154,0.156,0.042,0.153,0.110,0.087,0.045,0.000,0.053,0.013,0.235,0.014,0.014,0.000,0.511,0.286,0.000,0.097,0.328,0.000,0.278
model.000.01.pdb,0.432,0.558,0.477,0.217,0.110,0.455,0.364,0.000,0.312,0.067,0.208,0.327,0.018,0.076,0.413,0.224,0.351,0.605,0.000,0.014,0.088,0.245,0.286,0.130,0.051,0.297,0.234,0.000,0.292,0.283
model.000.02.pdb,0.125,0.118,0.156,0.102,0.731,0.106,0.150,0.440,0.000,0.648,0.000,0.000,0.523,0.633,0.194,0.232,0.054,0.068,0.364,0.456,0.365,0.000,0.014,0.148,0.000,0.056,0.264,0.407,0.029,0.115
model.000.03.pdb,0.190,0.159,0.268,0.240,0.642,0.186,0.269,0.211,0.000,0.536,0.000,0.000,0.306,0.604,0.224,0.375,0.167,0.154,0.286,0.311,0.619,0.000,0.078,0.031,0.000,0.200,0.306,0.177,0.115,0.083
model.000.04.pdb,0.364,0.280,0.170,0.262,0.040,0.326,0.326,0.000,0.395,0.027,0.271,0.292,0.000,0.015,0.170,0.118,0.424,0.467,0.000,0.000,0.017,0.381,0.429,0.018,0.054,0.364,0.058,0.000,0.405,0.057
model.000.05.pdb,0.345,0.640,0.569,0.076,0.185,0.436,0.293,0.068,0.345,0.131,0.234,0.250,0.123,0.162,0.569,0.316,0.161,0.500,0.013,0.072,0.149,0.188,0.164,0.226,0.069,0.167,0.352,0.038,0.149,0.423
model.000.06.pdb,0.077,0.072,0.075,0.000,0.544,0.044,0.063,0.667,0.000,0.611,0.000,0.000,0.625,0.592,0.125,0.136,0.000,0.027,0.259,0.688,0.211,0.000,0.000,0.193,0.000,0.000,0.204,0.609,0.000,0.082
model.000.07.pdb,0.175,0.420,0.327,0.034,0.062,0.236,0.123,0.081,0.314,0.063,0.236,0.255,0.069,0.056,0.278,0.143,0.080,0.352,0.000,0.054,0.000,0.182,0.117,0.444,0.082,0.061,0.170,0.109,0.065,0.400
model.000.08.pdb,0.217,0.222,0.293,0.222,0.685,0.233,0.296,0.237,0.000,0.552,0.000,0.014,0.360,0.588,0.316,0.400,0.154,0.179,0.288,0.312,0.600,0.000,0.058,0.076,0.000,0.160,0.360,0.185,0.091,0.150
model.000.09.pdb,0.200,0.434,0.370,0.048,0.071,0.259,0.169,0.108,0.263,0.060,0.197,0.233,0.081,0.053,0.321,0.150,0.113,0.368,0.000,0.078,0.014,0.148,0.125,0.400,0.127,0.096,0.175,0.118,0.092,0.447
