 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.106,0.277,0.014,0.400,0.121,0.592,0.013,0.000,0.000,0.197,0.066,0.013,0.295,0.040,0.000,0.000,0.509,0.000,0.447,0.028,0.262,0.000,0.469,0.698,0.000,0.527,0.028,0.533
model.000.01.pdb,0.417,0.255,0.358,0.123,0.480,0.064,0.327,0.069,0.633,0.660,0.519,0.164,0.270,0.711,0.083,0.638,0.241,0.580,0.037,0.159,0.031,0.500,0.095,0.154,0.014,0.000,0.542,0.051,0.469,0.030
model.000.02.pdb,0.045,0.000,0.000,0.254,0.013,0.250,0.000,0.162,0.000,0.000,0.066,0.159,0.000,0.013,0.270,0.000,0.062,0.013,0.261,0.154,0.062,0.042,0.277,0.283,0.327,0.138,0.041,0.269,0.000,0.061
model.000.03.pdb,0.069,0.000,0.025,0.655,0.122,0.736,0.012,0.623,0.072,0.087,0.073,0.526,0.000,0.049,0.706,0.049,0.056,0.086,0.808,0.000,0.382,0.066,0.698,0.063,0.538,0.306,0.051,0.704,0.141,0.426
model.000.04.pdb,0.231,0.000,0.046,0.660,0.296,0.549,0.062,0.377,0.246,0.213,0.190,0.805,0.000,0.159,0.574,0.159,0.125,0.230,0.373,0.062,0.167,0.236,0.604,0.109,0.241,0.097,0.148,0.386,0.283,0.185
model.000.05.pdb,0.060,0.000,0.103,0.491,0.116,0.593,0.101,0.739,0.078,0.095,0.065,0.373,0.025,0.081,0.473,0.096,0.000,0.093,0.630,0.000,0.458,0.087,0.474,0.000,0.510,0.415,0.013,0.755,0.136,0.578
model.000.06.pdb,0.070,0.000,0.048,0.500,0.136,0.462,0.048,0.522,0.090,0.092,0.059,0.511,0.000,0.077,0.449,0.111,0.000,0.091,0.472,0.000,0.364,0.083,0.510,0.015,0.333,0.161,0.015,0.520,0.140,0.356
model.000.07.pdb,0.703,0.164,0.155,0.185,0.568,0.114,0.193,0.043,0.596,0.659,0.762,0.217,0.154,0.565,0.141,0.385,0.409,0.682,0.053,0.283,0.000,0.675,0.152,0.296,0.015,0.000,0.643,0.040,0.489,0.016
model.000.08.pdb,0.571,0.218,0.228,0.159,0.532,0.095,0.246,0.027,0.592,0.617,0.638,0.206,0.258,0.630,0.118,0.500,0.383,0.674,0.037,0.246,0.016,0.591,0.129,0.259,0.000,0.000,0.674,0.038,0.429,0.000
model.000.09.pdb,0.117,0.511,0.268,0.000,0.106,0.000,0.263,0.000,0.274,0.283,0.219,0.000,0.646,0.267,0.000,0.267,0.200,0.279,0.000,0.143,0.000,0.145,0.000,0.104,0.000,0.014,0.327,0.000,0.092,0.000
model.000.10.pdb,0.364,0.017,0.032,0.510,0.404,0.364,0.048,0.169,0.263,0.296,0.315,0.591,0.014,0.211,0.429,0.169,0.255,0.315,0.262,0.140,0.054,0.362,0.431,0.218,0.145,0.032,0.245,0.210,0.333,0.071
model.000.11.pdb,0.189,0.000,0.081,0.604,0.353,0.500,0.097,0.286,0.230,0.217,0.175,0.738,0.000,0.143,0.521,0.180,0.107,0.213,0.356,0.030,0.170,0.218,0.583,0.094,0.200,0.063,0.113,0.300,0.314,0.167
model.000.12.pdb,0.113,0.000,0.074,0.537,0.210,0.585,0.072,0.472,0.141,0.129,0.111,0.646,0.000,0.083,0.549,0.114,0.062,0.127,0.509,0.014,0.360,0.123,0.547,0.070,0.309,0.141,0.071,0.448,0.237,0.327
model.000.13.pdb,0.104,0.000,0.026,0.660,0.127,0.712,0.013,0.509,0.103,0.091,0.090,0.527,0.000,0.064,0.714,0.064,0.058,0.104,0.569,0.013,0.281,0.099,0.740,0.080,0.540,0.219,0.067,0.618,0.130,0.321
model.000.14.pdb,0.143,0.000,0.030,0.625,0.207,0.646,0.030,0.490,0.134,0.138,0.136,0.682,0.000,0.090,0.609,0.090,0.086,0.154,0.528,0.015,0.286,0.133,0.638,0.060,0.314,0.133,0.077,0.491,0.193,0.306
model.000.15.pdb,0.000,0.016,0.015,0.000,0.000,0.026,0.030,0.000,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.015,0.097,0.000,0.013,0.000,0.000
model.000.16.pdb,0.082,0.000,0.014,0.667,0.143,0.620,0.014,0.389,0.083,0.086,0.100,0.583,0.000,0.042,0.727,0.056,0.066,0.116,0.566,0.014,0.226,0.077,0.717,0.090,0.468,0.148,0.075,0.500,0.148,0.222
model.000.17.pdb,0.535,0.264,0.207,0.194,0.532,0.125,0.224,0.042,0.660,0.689,0.604,0.226,0.238,0.562,0.152,0.442,0.444,0.711,0.064,0.246,0.000,0.489,0.162,0.237,0.000,0.000,0.674,0.052,0.429,0.015
model.000.18.pdb,0.591,0.268,0.213,0.120,0.434,0.062,0.230,0.013,0.608,0.633,0.688,0.143,0.281,0.646,0.081,0.491,0.468,0.688,0.024,0.293,0.000,0.574,0.092,0.328,0.000,0.000,0.810,0.024,0.370,0.000
model.000.19.pdb,0.000,0.000,0.000,0.290,0.000,0.373,0.000,0.293,0.000,0.000,0.000,0.188,0.000,0.000,0.357,0.000,0.000,0.013,0.339,0.029,0.161,0.000,0.339,0.090,0.568,0.296,0.000,0.373,0.014,0.158
model.000.20.pdb,0.476,0.260,0.245,0.152,0.511,0.085,0.241,0.060,0.644,0.800,0.587,0.180,0.276,0.690,0.108,0.578,0.271,0.738,0.039,0.155,0.000,0.500,0.119,0.169,0.000,0.000,0.581,0.041,0.467,0.016
model.000.21.pdb,0.286,0.016,0.047,0.571,0.380,0.444,0.062,0.220,0.271,0.259,0.254,0.659,0.014,0.200,0.521,0.200,0.170,0.276,0.333,0.079,0.088,0.264,0.520,0.148,0.179,0.015,0.190,0.279,0.367,0.105
model.000.22.pdb,0.645,0.130,0.000,0.140,0.295,0.082,0.018,0.017,0.370,0.326,0.476,0.196,0.033,0.304,0.109,0.154,0.562,0.348,0.046,0.400,0.000,0.447,0.103,0.450,0.000,0.000,0.541,0.015,0.222,0.000
model.000.23.pdb,0.158,0.000,0.029,0.739,0.241,0.653,0.029,0.389,0.147,0.169,0.149,0.652,0.000,0.103,0.727,0.087,0.102,0.185,0.509,0.029,0.204,0.167,0.717,0.090,0.438,0.167,0.091,0.500,0.186,0.222
