 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.286,0.368,0.294,0.278,0.182,0.288,0.487,0.107,0.241,0.100,0.234,0.556,0.298,0.232,0.222,0.289,0.018,0.102,0.263,0.409,0.113,0.141,0.538,0.289,0.409,0.234,0.033,0.222,0.579,0.032
model.000.01.pdb,0.322,0.155,0.095,0.424,0.270,0.262,0.141,0.328,0.079,0.209,0.160,0.127,0.407,0.063,0.174,0.028,0.029,0.176,0.101,0.100,0.156,0.571,0.172,0.074,0.305,0.237,0.000,0.800,0.293,0.455
model.000.02.pdb,0.667,0.208,0.114,0.558,0.604,0.681,0.273,0.042,0.082,0.472,0.096,0.360,0.553,0.080,0.660,0.077,0.211,0.000,0.091,0.175,0.000,0.491,0.286,0.111,0.609,0.061,0.138,0.258,0.440,0.149
model.000.03.pdb,0.291,0.500,0.480,0.242,0.217,0.293,0.692,0.045,0.389,0.121,0.381,0.600,0.327,0.375,0.233,0.435,0.016,0.090,0.379,0.591,0.098,0.174,0.744,0.467,0.400,0.179,0.094,0.138,0.478,0.028
model.000.04.pdb,0.230,0.600,0.625,0.209,0.185,0.234,0.667,0.088,0.519,0.099,0.492,0.581,0.281,0.528,0.200,0.556,0.000,0.167,0.527,0.721,0.164,0.181,0.674,0.628,0.321,0.228,0.088,0.130,0.440,0.027
model.000.05.pdb,0.321,0.595,0.404,0.246,0.241,0.321,0.667,0.078,0.321,0.159,0.323,0.800,0.333,0.333,0.304,0.383,0.032,0.091,0.339,0.533,0.100,0.194,0.675,0.413,0.438,0.204,0.078,0.106,0.523,0.014
model.000.06.pdb,0.114,0.426,0.620,0.120,0.067,0.108,0.460,0.242,0.608,0.013,0.593,0.340,0.152,0.556,0.095,0.622,0.000,0.356,0.673,0.638,0.370,0.114,0.471,0.553,0.167,0.404,0.085,0.125,0.293,0.026
model.000.07.pdb,0.635,0.213,0.114,0.655,0.673,0.679,0.250,0.077,0.085,0.571,0.110,0.322,0.566,0.083,0.692,0.067,0.295,0.036,0.080,0.151,0.025,0.557,0.281,0.096,0.527,0.081,0.167,0.294,0.414,0.176
model.000.08.pdb,0.133,0.357,0.543,0.104,0.094,0.143,0.537,0.031,0.532,0.044,0.400,0.452,0.138,0.480,0.145,0.500,0.016,0.111,0.453,0.523,0.123,0.054,0.548,0.500,0.218,0.145,0.175,0.029,0.250,0.000
model.000.09.pdb,0.392,0.622,0.370,0.375,0.304,0.389,0.650,0.148,0.316,0.175,0.299,0.641,0.500,0.305,0.254,0.320,0.016,0.123,0.290,0.458,0.117,0.306,0.581,0.347,0.522,0.222,0.000,0.233,0.659,0.090
