 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.068,0.129,0.194,0.099,0.149,0.014,0.203,0.104,0.000,0.080,0.083,0.633,0.145,0.000,0.116,0.254,0.098,0.000,0.415,0.013,0.215,0.014,0.132,0.500,0.026,0.028,0.290,0.097,0.134,0.674
model.000.01.pdb,0.545,0.000,0.600,0.360,0.523,0.271,0.490,0.333,0.312,0.340,0.097,0.111,0.327,0.000,0.595,0.000,0.000,0.151,0.300,0.078,0.000,0.083,0.070,0.226,0.000,0.164,0.458,0.018,0.294,0.051
model.000.02.pdb,0.100,0.500,0.058,0.000,0.134,0.273,0.123,0.000,0.014,0.000,0.638,0.053,0.000,0.071,0.118,0.418,0.000,0.000,0.042,0.660,0.472,0.510,0.635,0.042,0.242,0.460,0.053,0.000,0.000,0.060
model.000.03.pdb,0.194,0.364,0.148,0.000,0.197,0.426,0.113,0.000,0.078,0.000,0.609,0.013,0.000,0.125,0.159,0.230,0.000,0.000,0.014,0.705,0.293,0.775,0.608,0.014,0.233,0.628,0.027,0.000,0.000,0.000
model.000.04.pdb,0.327,0.000,0.245,0.354,0.208,0.115,0.273,0.386,0.463,0.333,0.016,0.081,0.320,0.000,0.306,0.000,0.019,0.234,0.170,0.015,0.000,0.016,0.014,0.127,0.000,0.052,0.288,0.038,0.260,0.054
model.000.05.pdb,0.509,0.024,0.491,0.317,0.519,0.357,0.760,0.339,0.200,0.323,0.221,0.232,0.312,0.000,0.547,0.037,0.014,0.101,0.356,0.151,0.037,0.176,0.138,0.311,0.000,0.254,0.518,0.043,0.286,0.149
model.000.06.pdb,0.056,0.583,0.014,0.000,0.072,0.172,0.096,0.000,0.000,0.000,0.471,0.116,0.000,0.058,0.057,0.652,0.000,0.000,0.091,0.462,0.727,0.358,0.566,0.091,0.250,0.291,0.085,0.000,0.000,0.150
model.000.07.pdb,0.309,0.043,0.545,0.309,0.449,0.121,0.571,0.308,0.117,0.293,0.043,0.423,0.304,0.000,0.420,0.074,0.017,0.083,0.643,0.014,0.074,0.015,0.039,0.568,0.000,0.046,0.682,0.051,0.321,0.347
model.000.08.pdb,0.200,0.339,0.138,0.013,0.222,0.479,0.186,0.014,0.058,0.013,0.660,0.039,0.013,0.101,0.203,0.215,0.000,0.000,0.027,0.681,0.274,0.786,0.623,0.027,0.200,0.682,0.053,0.000,0.000,0.000
model.000.09.pdb,0.328,0.040,0.553,0.283,0.462,0.167,0.640,0.281,0.125,0.270,0.055,0.411,0.279,0.000,0.434,0.068,0.015,0.061,0.721,0.026,0.083,0.028,0.049,0.542,0.000,0.058,0.681,0.047,0.271,0.365
