 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.014,0.345,0.000,0.000,0.000,0.000,0.275,0.000,0.288,0.364,0.000,0.294,0.000,0.018,0.542,0.000,0.000,0.000,0.000,0.068
model.000.01.pdb,0.024,0.492,0.000,0.000,0.000,0.000,0.157,0.000,0.051,0.569,0.000,0.093,0.000,0.000,0.500,0.000,0.013,0.000,0.000,0.068
model.000.02.pdb,0.082,0.103,0.164,0.025,0.000,0.085,0.159,0.028,0.630,0.122,0.000,0.510,0.013,0.275,0.171,0.000,0.000,0.132,0.000,0.076
model.000.03.pdb,0.000,0.283,0.000,0.000,0.000,0.000,0.524,0.000,0.082,0.088,0.000,0.000,0.000,0.000,0.074,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.145,0.057,0.000,0.000,0.016,0.234,0.000,0.538,0.062,0.000,0.204,0.000,0.163,0.175,0.000,0.000,0.051,0.000,0.000
model.000.05.pdb,0.829,0.000,0.288,0.129,0.236,0.259,0.000,0.346,0.029,0.068,0.143,0.129,0.103,0.130,0.054,0.288,0.079,0.304,0.150,0.675
model.000.06.pdb,0.549,0.000,0.164,0.078,0.263,0.149,0.000,0.276,0.000,0.107,0.152,0.072,0.113,0.048,0.123,0.224,0.220,0.167,0.237,0.479
model.000.07.pdb,0.172,0.000,0.364,0.143,0.017,0.245,0.000,0.145,0.362,0.059,0.066,0.500,0.062,0.588,0.076,0.071,0.000,0.294,0.000,0.154
model.000.08.pdb,0.000,0.411,0.000,0.000,0.000,0.000,0.245,0.000,0.015,0.152,0.000,0.000,0.000,0.000,0.056,0.000,0.032,0.000,0.000,0.000
model.000.09.pdb,0.000,0.393,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.057,0.000,0.032,0.000,0.000,0.000
model.000.10.pdb,0.000,0.660,0.000,0.000,0.000,0.000,0.207,0.000,0.075,0.356,0.000,0.044,0.000,0.000,0.295,0.000,0.015,0.000,0.000,0.000
model.000.11.pdb,0.029,0.149,0.051,0.000,0.000,0.000,0.185,0.000,0.467,0.175,0.000,0.383,0.000,0.143,0.259,0.000,0.000,0.030,0.000,0.069
model.000.12.pdb,0.000,0.500,0.000,0.000,0.000,0.000,0.216,0.000,0.016,0.241,0.000,0.000,0.000,0.000,0.109,0.000,0.017,0.000,0.000,0.000
model.000.13.pdb,0.000,0.745,0.000,0.000,0.000,0.000,0.288,0.000,0.114,0.387,0.000,0.069,0.000,0.000,0.349,0.000,0.000,0.000,0.000,0.000
model.000.14.pdb,0.057,0.141,0.158,0.026,0.000,0.091,0.172,0.030,0.667,0.130,0.000,0.500,0.014,0.277,0.222,0.000,0.000,0.125,0.000,0.048
model.000.15.pdb,0.578,0.000,0.312,0.103,0.103,0.232,0.000,0.269,0.081,0.136,0.079,0.245,0.044,0.188,0.121,0.212,0.016,0.327,0.016,0.750
model.000.16.pdb,0.125,0.086,0.217,0.062,0.000,0.129,0.071,0.056,0.453,0.214,0.000,0.767,0.013,0.288,0.200,0.014,0.000,0.179,0.000,0.159
model.000.17.pdb,0.377,0.000,0.711,0.426,0.294,0.732,0.000,0.700,0.095,0.000,0.373,0.115,0.304,0.341,0.000,0.585,0.031,0.775,0.098,0.226
model.000.18.pdb,0.129,0.062,0.224,0.092,0.000,0.149,0.058,0.057,0.442,0.153,0.000,0.644,0.013,0.300,0.155,0.014,0.000,0.185,0.000,0.145
model.000.19.pdb,0.025,0.544,0.000,0.000,0.000,0.000,0.230,0.000,0.116,0.604,0.000,0.118,0.000,0.000,0.585,0.000,0.014,0.000,0.000,0.074
