 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.145,0.000,0.038,0.000,0.000,0.212,0.029,0.013,0.000,0.000,0.059,0.048,0.333,0.185,0.064,0.323,0.000,0.190,0.037,0.574
model.000.01.pdb,0.269,0.000,0.000,0.000,0.000,0.241,0.000,0.000,0.000,0.028,0.000,0.000,0.212,0.391,0.000,0.190,0.000,0.057,0.000,0.412
model.000.02.pdb,0.051,0.053,0.102,0.052,0.018,0.167,0.019,0.000,0.000,0.061,0.000,0.203,0.341,0.034,0.000,0.000,0.279,0.677,0.259,0.236
model.000.03.pdb,0.000,0.348,0.241,0.260,0.487,0.000,0.357,0.550,0.133,0.091,0.190,0.159,0.000,0.000,0.193,0.000,0.000,0.000,0.148,0.000
model.000.04.pdb,0.274,0.000,0.025,0.000,0.000,0.404,0.000,0.000,0.000,0.024,0.011,0.048,0.551,0.328,0.012,0.155,0.000,0.232,0.037,0.574
model.000.05.pdb,0.000,0.259,0.177,0.211,0.333,0.000,0.235,0.447,0.233,0.130,0.209,0.129,0.000,0.000,0.194,0.000,0.000,0.000,0.118,0.000
model.000.06.pdb,0.213,0.000,0.055,0.000,0.000,0.293,0.000,0.000,0.000,0.012,0.012,0.078,0.479,0.241,0.013,0.167,0.015,0.306,0.067,0.600
model.000.07.pdb,0.000,0.291,0.810,0.286,0.426,0.000,0.320,0.340,0.000,0.025,0.151,0.608,0.029,0.000,0.132,0.027,0.100,0.068,0.519,0.068
model.000.08.pdb,0.081,0.000,0.092,0.000,0.028,0.157,0.043,0.013,0.000,0.000,0.071,0.099,0.305,0.114,0.077,0.317,0.014,0.250,0.103,0.536
model.000.09.pdb,0.013,0.101,0.446,0.100,0.241,0.053,0.291,0.188,0.000,0.000,0.141,0.450,0.172,0.013,0.139,0.052,0.109,0.236,0.474,0.200
model.000.10.pdb,0.059,0.373,0.071,0.449,0.048,0.028,0.016,0.111,0.357,0.667,0.012,0.157,0.000,0.029,0.000,0.000,0.354,0.016,0.130,0.000
model.000.11.pdb,0.013,0.000,0.107,0.000,0.072,0.013,0.123,0.068,0.000,0.000,0.400,0.072,0.069,0.013,0.448,0.383,0.000,0.029,0.089,0.132
model.000.12.pdb,0.000,0.190,0.509,0.188,0.291,0.013,0.321,0.250,0.000,0.012,0.189,0.509,0.088,0.000,0.191,0.067,0.186,0.155,0.627,0.137
model.000.13.pdb,0.206,0.104,0.000,0.154,0.000,0.167,0.000,0.014,0.356,0.527,0.000,0.012,0.074,0.138,0.000,0.000,0.169,0.082,0.012,0.000
model.000.14.pdb,0.000,0.000,0.036,0.000,0.069,0.000,0.152,0.095,0.000,0.000,0.403,0.011,0.053,0.013,0.500,0.509,0.000,0.000,0.047,0.127
model.000.15.pdb,0.000,0.565,0.262,0.521,0.360,0.000,0.264,0.500,0.219,0.262,0.118,0.277,0.000,0.000,0.099,0.000,0.196,0.000,0.250,0.000
model.000.16.pdb,0.043,0.250,0.042,0.246,0.082,0.014,0.032,0.148,0.617,0.429,0.025,0.038,0.000,0.000,0.041,0.000,0.140,0.000,0.054,0.000
model.000.17.pdb,0.069,0.364,0.096,0.382,0.109,0.013,0.045,0.210,0.500,0.635,0.023,0.132,0.000,0.027,0.013,0.000,0.250,0.000,0.122,0.000
model.000.18.pdb,0.057,0.358,0.069,0.377,0.062,0.014,0.015,0.143,0.529,0.640,0.012,0.122,0.000,0.029,0.000,0.000,0.264,0.000,0.096,0.000
model.000.19.pdb,0.014,0.090,0.368,0.088,0.169,0.056,0.153,0.074,0.000,0.025,0.103,0.448,0.180,0.014,0.097,0.054,0.172,0.275,0.421,0.191
