 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.373,0.039,0.000,0.380,0.000,0.000,0.119,0.000,0.620,0.000,0.000,0.000,0.000,0.000,0.234,0.520,0.491,0.000,0.000
model.000.01.pdb,0.027,0.258,0.061,0.027,0.242,0.000,0.000,0.137,0.000,0.435,0.000,0.000,0.000,0.041,0.027,0.338,0.400,0.450,0.000,0.042
model.000.02.pdb,0.386,0.000,0.108,0.676,0.016,0.240,0.235,0.000,0.288,0.028,0.000,0.156,0.179,0.550,0.364,0.014,0.062,0.091,0.000,0.622
model.000.03.pdb,0.102,0.015,0.056,0.100,0.000,0.179,0.218,0.091,0.203,0.000,0.614,0.418,0.346,0.100,0.067,0.000,0.000,0.000,0.535,0.000
model.000.04.pdb,0.179,0.000,0.149,0.136,0.000,0.196,0.283,0.014,0.286,0.000,0.674,0.549,0.479,0.155,0.182,0.000,0.000,0.000,0.314,0.032
model.000.05.pdb,0.065,0.133,0.085,0.063,0.155,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.000,0.098,0.066,0.262,0.423,0.400,0.000,0.140
model.000.06.pdb,0.029,0.194,0.037,0.058,0.237,0.000,0.000,0.068,0.000,0.466,0.000,0.000,0.000,0.058,0.014,0.239,0.481,0.537,0.000,0.145
model.000.07.pdb,0.000,0.512,0.000,0.000,0.333,0.000,0.000,0.458,0.000,0.169,0.045,0.013,0.000,0.000,0.000,0.088,0.145,0.121,0.085,0.000
model.000.08.pdb,0.095,0.029,0.096,0.061,0.000,0.129,0.183,0.101,0.210,0.000,0.744,0.414,0.345,0.061,0.062,0.000,0.000,0.000,0.591,0.000
model.000.09.pdb,0.015,0.232,0.040,0.015,0.214,0.000,0.000,0.121,0.000,0.455,0.000,0.000,0.000,0.030,0.015,0.322,0.389,0.418,0.000,0.048
model.000.10.pdb,0.000,0.211,0.040,0.000,0.115,0.000,0.000,0.805,0.000,0.067,0.043,0.000,0.000,0.000,0.000,0.114,0.042,0.040,0.153,0.000
model.000.11.pdb,0.207,0.014,0.052,0.268,0.000,0.543,0.636,0.000,0.617,0.000,0.434,0.566,0.596,0.291,0.190,0.000,0.000,0.000,0.246,0.078
model.000.12.pdb,0.000,0.365,0.026,0.000,0.321,0.000,0.000,0.246,0.000,0.519,0.000,0.000,0.000,0.000,0.000,0.250,0.351,0.333,0.000,0.000
model.000.13.pdb,0.000,0.382,0.024,0.000,0.471,0.000,0.000,0.141,0.000,0.642,0.000,0.000,0.000,0.000,0.000,0.133,0.491,0.466,0.000,0.014
model.000.14.pdb,0.143,0.042,0.037,0.159,0.014,0.460,0.451,0.000,0.444,0.024,0.444,0.417,0.400,0.177,0.127,0.000,0.000,0.000,0.327,0.014
model.000.15.pdb,0.476,0.000,0.123,0.800,0.000,0.400,0.422,0.000,0.417,0.000,0.062,0.250,0.288,0.658,0.386,0.000,0.029,0.028,0.000,0.419
model.000.16.pdb,0.000,0.156,0.037,0.043,0.177,0.000,0.000,0.082,0.000,0.466,0.000,0.000,0.000,0.028,0.000,0.317,0.429,0.456,0.000,0.109
model.000.17.pdb,0.186,0.014,0.653,0.060,0.000,0.029,0.043,0.055,0.056,0.037,0.086,0.153,0.103,0.109,0.232,0.373,0.000,0.038,0.000,0.131
model.000.18.pdb,0.239,0.000,0.046,0.450,0.018,0.487,0.475,0.000,0.432,0.029,0.033,0.186,0.265,0.381,0.244,0.000,0.032,0.030,0.018,0.302
model.000.19.pdb,0.349,0.000,0.078,0.513,0.000,0.553,0.622,0.000,0.524,0.000,0.164,0.340,0.465,0.513,0.295,0.000,0.000,0.000,0.054,0.188
