 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.219,0.000,0.015,0.000,0.111,0.431,0.000,0.036,0.317,0.106,0.000,0.000,0.014,0.000,0.000,0.109,0.309,0.360,0.062,0.000
model.000.01.pdb,0.000,0.092,0.031,0.210,0.000,0.000,0.380,0.000,0.000,0.109,0.000,0.145,0.241,0.090,0.143,0.302,0.000,0.031,0.081,0.000
model.000.02.pdb,0.038,0.134,0.000,0.481,0.137,0.000,0.233,0.127,0.012,0.013,0.000,0.511,0.375,0.099,0.510,0.072,0.000,0.000,0.029,0.000
model.000.03.pdb,0.000,0.075,0.031,0.206,0.000,0.000,0.296,0.000,0.000,0.143,0.000,0.143,0.237,0.072,0.141,0.296,0.000,0.031,0.062,0.000
model.000.04.pdb,0.000,0.314,0.051,0.203,0.057,0.000,0.413,0.081,0.000,0.063,0.066,0.372,0.214,0.232,0.283,0.102,0.000,0.000,0.086,0.033
model.000.05.pdb,0.254,0.000,0.000,0.054,0.157,0.396,0.000,0.061,0.455,0.028,0.000,0.000,0.087,0.000,0.014,0.043,0.259,0.255,0.000,0.000
model.000.06.pdb,0.000,0.435,0.034,0.167,0.058,0.000,0.333,0.129,0.000,0.048,0.067,0.381,0.155,0.308,0.314,0.032,0.000,0.000,0.069,0.033
model.000.07.pdb,0.000,0.315,0.065,0.172,0.026,0.000,0.568,0.077,0.000,0.076,0.062,0.286,0.143,0.259,0.241,0.169,0.000,0.000,0.117,0.031
model.000.08.pdb,0.000,0.149,0.333,0.000,0.000,0.000,0.210,0.000,0.000,0.750,0.190,0.000,0.000,0.162,0.000,0.562,0.000,0.200,0.490,0.217
model.000.09.pdb,0.024,0.025,0.086,0.049,0.000,0.038,0.129,0.000,0.074,0.306,0.000,0.000,0.093,0.025,0.012,0.519,0.013,0.310,0.149,0.013
model.000.10.pdb,0.023,0.527,0.197,0.035,0.083,0.000,0.171,0.228,0.000,0.050,0.344,0.169,0.037,0.536,0.149,0.025,0.000,0.000,0.159,0.311
model.000.11.pdb,0.061,0.093,0.000,0.593,0.141,0.000,0.212,0.118,0.023,0.000,0.000,0.423,0.509,0.077,0.509,0.067,0.000,0.000,0.013,0.000
model.000.12.pdb,0.389,0.000,0.000,0.121,0.305,0.321,0.000,0.186,0.520,0.000,0.000,0.033,0.164,0.000,0.092,0.000,0.278,0.102,0.000,0.000
model.000.13.pdb,0.310,0.000,0.000,0.000,0.147,0.543,0.000,0.050,0.400,0.060,0.015,0.000,0.014,0.000,0.000,0.045,0.458,0.245,0.015,0.015
model.000.14.pdb,0.025,0.571,0.180,0.038,0.077,0.000,0.154,0.268,0.000,0.069,0.293,0.169,0.040,0.549,0.147,0.000,0.000,0.000,0.159,0.281
model.000.15.pdb,0.227,0.070,0.060,0.000,0.258,0.169,0.000,0.413,0.155,0.000,0.175,0.062,0.000,0.083,0.069,0.000,0.250,0.000,0.000,0.161
model.000.16.pdb,0.014,0.000,0.000,0.273,0.014,0.000,0.049,0.000,0.029,0.082,0.000,0.094,0.367,0.000,0.136,0.164,0.000,0.070,0.000,0.000
model.000.17.pdb,0.236,0.000,0.000,0.241,0.228,0.145,0.000,0.118,0.327,0.000,0.000,0.078,0.362,0.000,0.143,0.000,0.069,0.055,0.000,0.000
model.000.18.pdb,0.050,0.113,0.000,0.537,0.132,0.000,0.203,0.122,0.037,0.000,0.000,0.479,0.569,0.080,0.481,0.069,0.000,0.000,0.000,0.000
model.000.19.pdb,0.750,0.000,0.000,0.107,0.564,0.463,0.000,0.296,0.545,0.000,0.000,0.076,0.143,0.000,0.159,0.000,0.500,0.028,0.000,0.000
