 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000,0.477,0.367,0.000,0.000,0.189,0.000,0.000,0.771,0.000,0.000,0.000,0.015,0.600,0.158,0.000
model.000.01.pdb,0.000,0.000,0.333,0.026,0.677,0.000,0.051,0.017,0.000,0.094,0.000,0.000,0.000,0.000,0.261,0.000,0.000,0.000,0.271,0.000
model.000.02.pdb,0.000,0.000,0.063,0.071,0.189,0.076,0.177,0.000,0.000,0.169,0.000,0.000,0.133,0.000,0.095,0.000,0.000,0.148,0.674,0.000
model.000.03.pdb,0.000,0.000,0.452,0.000,0.462,0.000,0.063,0.015,0.000,0.125,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.138,0.000
model.000.04.pdb,0.027,0.164,0.634,0.071,0.500,0.000,0.000,0.180,0.028,0.000,0.000,0.026,0.000,0.000,0.643,0.130,0.000,0.000,0.143,0.147
model.000.05.pdb,0.050,0.178,0.531,0.101,0.340,0.000,0.000,0.250,0.080,0.000,0.000,0.049,0.000,0.038,0.638,0.178,0.000,0.000,0.096,0.194
model.000.06.pdb,0.000,0.000,0.145,0.000,0.157,0.000,0.327,0.000,0.000,0.444,0.000,0.000,0.049,0.000,0.032,0.000,0.000,0.015,0.046,0.000
model.000.07.pdb,0.000,0.000,0.000,0.000,0.000,0.224,0.378,0.000,0.000,0.289,0.000,0.000,0.425,0.000,0.000,0.000,0.000,0.341,0.271,0.000
model.000.08.pdb,0.333,0.525,0.097,0.645,0.042,0.000,0.000,0.585,0.441,0.000,0.227,0.343,0.000,0.365,0.157,0.607,0.167,0.000,0.063,0.579
model.000.09.pdb,0.075,0.028,0.000,0.036,0.000,0.081,0.150,0.000,0.030,0.161,0.121,0.088,0.085,0.061,0.000,0.000,0.259,0.031,0.000,0.014
model.000.10.pdb,0.000,0.000,0.029,0.000,0.015,0.071,0.571,0.000,0.000,0.587,0.000,0.000,0.200,0.000,0.014,0.000,0.027,0.104,0.013,0.000
model.000.11.pdb,0.039,0.155,0.479,0.080,0.396,0.000,0.000,0.188,0.055,0.000,0.000,0.025,0.000,0.026,0.553,0.139,0.000,0.000,0.118,0.155
model.000.12.pdb,0.056,0.132,0.692,0.023,0.319,0.000,0.000,0.109,0.014,0.015,0.000,0.069,0.000,0.028,0.545,0.132,0.000,0.000,0.060,0.132
model.000.13.pdb,0.000,0.000,0.400,0.013,0.625,0.000,0.051,0.017,0.000,0.094,0.000,0.000,0.000,0.000,0.318,0.000,0.000,0.000,0.196,0.000
model.000.14.pdb,0.588,0.660,0.108,0.439,0.000,0.027,0.000,0.426,0.500,0.000,0.451,0.804,0.000,0.549,0.104,0.566,0.375,0.014,0.000,0.660
model.000.15.pdb,0.000,0.000,0.066,0.000,0.109,0.045,0.449,0.000,0.000,0.595,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.079,0.111,0.000
model.000.16.pdb,0.500,0.426,0.100,0.290,0.000,0.000,0.000,0.268,0.263,0.000,0.283,0.571,0.000,0.304,0.097,0.351,0.268,0.000,0.000,0.375
model.000.17.pdb,0.509,0.608,0.092,0.469,0.000,0.027,0.000,0.462,0.540,0.000,0.490,0.577,0.000,0.625,0.090,0.577,0.382,0.014,0.000,0.608
model.000.18.pdb,0.620,0.660,0.108,0.439,0.000,0.000,0.000,0.604,0.500,0.000,0.321,0.627,0.000,0.463,0.104,0.596,0.242,0.000,0.000,0.627
model.000.19.pdb,0.000,0.000,0.000,0.000,0.000,0.523,0.438,0.000,0.000,0.226,0.000,0.000,0.684,0.014,0.000,0.000,0.079,0.500,0.046,0.000
