 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.370,0.034,0.326,0.000,0.298,0.000,0.380,0.236,0.500,0.460,0.000,0.190,0.333,0.000,0.099,0.000,0.000,0.000,0.000,0.489
model.000.01.pdb,0.636,0.262,0.106,0.000,0.343,0.000,0.371,0.063,0.569,0.141,0.000,0.358,0.128,0.000,0.362,0.000,0.000,0.000,0.000,0.147
model.000.02.pdb,0.093,0.000,0.383,0.047,0.093,0.014,0.149,0.407,0.153,0.588,0.071,0.051,0.569,0.000,0.000,0.116,0.000,0.039,0.041,0.560
model.000.03.pdb,0.217,0.364,0.143,0.000,0.431,0.000,0.308,0.000,0.138,0.029,0.015,0.014,0.000,0.111,0.000,0.000,0.000,0.014,0.000,0.030
model.000.04.pdb,0.117,0.000,0.562,0.000,0.136,0.000,0.192,0.173,0.172,0.404,0.053,0.015,0.300,0.000,0.000,0.051,0.000,0.016,0.016,0.465
model.000.05.pdb,0.000,0.000,0.000,0.465,0.000,0.380,0.000,0.143,0.000,0.116,0.014,0.162,0.134,0.000,0.206,0.259,0.127,0.041,0.058,0.072
model.000.06.pdb,0.025,0.000,0.000,0.264,0.000,0.352,0.000,0.070,0.025,0.066,0.000,0.297,0.081,0.000,0.344,0.149,0.103,0.013,0.027,0.026
model.000.07.pdb,0.000,0.000,0.149,0.167,0.000,0.107,0.015,0.477,0.043,0.296,0.143,0.043,0.408,0.000,0.014,0.294,0.049,0.113,0.100,0.314
model.000.08.pdb,0.293,0.676,0.036,0.000,0.500,0.000,0.346,0.000,0.206,0.014,0.000,0.013,0.000,0.014,0.068,0.000,0.000,0.000,0.000,0.014
model.000.09.pdb,0.276,0.743,0.000,0.000,0.370,0.000,0.255,0.000,0.190,0.000,0.000,0.056,0.000,0.014,0.114,0.000,0.000,0.000,0.000,0.000
model.000.10.pdb,0.612,0.375,0.127,0.000,0.549,0.000,0.609,0.043,0.538,0.130,0.000,0.111,0.100,0.000,0.169,0.000,0.000,0.000,0.000,0.136
model.000.11.pdb,0.123,0.000,0.474,0.000,0.106,0.000,0.172,0.314,0.213,0.565,0.048,0.088,0.479,0.000,0.013,0.030,0.000,0.000,0.015,0.643
model.000.12.pdb,0.392,0.657,0.059,0.000,0.420,0.000,0.375,0.000,0.309,0.045,0.000,0.075,0.015,0.015,0.136,0.000,0.000,0.000,0.000,0.047
model.000.13.pdb,0.700,0.333,0.214,0.000,0.667,0.000,0.667,0.053,0.623,0.183,0.000,0.132,0.122,0.000,0.156,0.000,0.000,0.000,0.000,0.174
model.000.14.pdb,0.116,0.000,0.500,0.051,0.116,0.000,0.180,0.365,0.182,0.520,0.061,0.054,0.500,0.000,0.000,0.125,0.000,0.042,0.029,0.587
model.000.15.pdb,0.028,0.000,0.000,0.475,0.000,0.300,0.000,0.236,0.042,0.197,0.015,0.172,0.220,0.000,0.200,0.278,0.063,0.043,0.015,0.111
model.000.16.pdb,0.077,0.000,0.241,0.095,0.050,0.056,0.097,0.592,0.149,0.660,0.055,0.118,0.673,0.000,0.035,0.162,0.000,0.051,0.026,0.538
model.000.17.pdb,0.000,0.000,0.000,0.649,0.000,0.558,0.000,0.228,0.000,0.056,0.169,0.000,0.104,0.043,0.039,0.732,0.327,0.254,0.268,0.029
model.000.18.pdb,0.051,0.000,0.204,0.098,0.038,0.058,0.085,0.551,0.122,0.558,0.071,0.078,0.633,0.013,0.024,0.185,0.000,0.067,0.041,0.444
model.000.19.pdb,0.647,0.203,0.196,0.000,0.400,0.000,0.491,0.099,0.735,0.221,0.000,0.288,0.171,0.000,0.294,0.000,0.000,0.000,0.000,0.231
