 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.031,0.056,0.463,0.000,0.000,0.161,0.203,0.000,0.000,0.100,0.000,0.150,0.000,0.014,0.060,0.356,0.145,0.015,0.366,0.188
model.000.01.pdb,0.157,0.081,0.156,0.000,0.000,0.163,0.235,0.000,0.000,0.115,0.000,0.000,0.071,0.226,0.000,0.082,0.260,0.000,0.091,0.021
model.000.02.pdb,0.069,0.104,0.591,0.000,0.000,0.230,0.227,0.000,0.000,0.134,0.000,0.113,0.000,0.012,0.038,0.392,0.174,0.068,0.294,0.175
model.000.03.pdb,0.000,0.000,0.014,0.551,0.426,0.000,0.000,0.042,0.600,0.000,0.054,0.446,0.000,0.000,0.537,0.058,0.000,0.025,0.062,0.150
model.000.04.pdb,0.000,0.025,0.523,0.029,0.059,0.091,0.130,0.000,0.014,0.043,0.000,0.246,0.000,0.013,0.130,0.511,0.099,0.013,0.575,0.362
model.000.05.pdb,0.535,0.574,0.000,0.000,0.000,0.333,0.429,0.196,0.000,0.585,0.121,0.000,0.634,0.532,0.000,0.000,0.489,0.046,0.000,0.000
model.000.06.pdb,0.175,0.224,0.288,0.000,0.000,0.412,0.393,0.000,0.000,0.259,0.000,0.013,0.071,0.096,0.000,0.193,0.345,0.041,0.105,0.032
model.000.07.pdb,0.029,0.053,0.625,0.000,0.000,0.129,0.169,0.000,0.000,0.060,0.000,0.156,0.014,0.068,0.070,0.467,0.134,0.000,0.386,0.240
model.000.08.pdb,0.000,0.000,0.138,0.250,0.315,0.000,0.000,0.000,0.233,0.000,0.000,0.562,0.000,0.000,0.510,0.264,0.000,0.042,0.319,0.465
model.000.09.pdb,0.255,0.143,0.056,0.000,0.000,0.192,0.236,0.054,0.000,0.145,0.000,0.000,0.161,0.346,0.000,0.000,0.259,0.000,0.039,0.000
model.000.10.pdb,0.500,0.600,0.000,0.000,0.000,0.346,0.434,0.218,0.000,0.578,0.145,0.000,0.738,0.560,0.000,0.000,0.520,0.042,0.000,0.000
model.000.11.pdb,0.102,0.043,0.000,0.069,0.033,0.016,0.000,0.154,0.082,0.000,0.000,0.047,0.065,0.183,0.232,0.000,0.000,0.000,0.000,0.000
model.000.12.pdb,0.352,0.306,0.000,0.000,0.000,0.127,0.185,0.511,0.000,0.263,0.263,0.000,0.480,0.436,0.000,0.000,0.185,0.014,0.000,0.000
model.000.13.pdb,0.444,0.553,0.000,0.000,0.000,0.312,0.380,0.250,0.000,0.524,0.143,0.000,0.650,0.543,0.000,0.000,0.408,0.031,0.000,0.000
model.000.14.pdb,0.109,0.053,0.000,0.079,0.015,0.015,0.014,0.269,0.091,0.014,0.077,0.043,0.091,0.167,0.172,0.000,0.000,0.000,0.000,0.000
model.000.15.pdb,0.250,0.130,0.000,0.000,0.000,0.079,0.088,0.275,0.014,0.095,0.062,0.000,0.203,0.288,0.104,0.000,0.057,0.000,0.000,0.000
model.000.16.pdb,0.464,0.552,0.027,0.000,0.000,0.538,0.536,0.041,0.000,0.528,0.025,0.000,0.317,0.275,0.000,0.013,0.458,0.217,0.000,0.000
model.000.17.pdb,0.068,0.117,0.479,0.000,0.027,0.246,0.224,0.000,0.000,0.149,0.000,0.081,0.013,0.024,0.025,0.358,0.171,0.096,0.241,0.172
model.000.18.pdb,0.604,0.667,0.014,0.000,0.000,0.471,0.620,0.200,0.000,0.583,0.086,0.000,0.529,0.482,0.000,0.014,0.588,0.013,0.000,0.000
model.000.19.pdb,0.000,0.000,0.030,0.532,0.404,0.000,0.000,0.045,0.490,0.000,0.028,0.510,0.000,0.000,0.646,0.113,0.000,0.027,0.103,0.226
