 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.780,0.000,0.000,0.000,0.000,0.310,0.000,0.130,0.387,0.000,0.069,0.000,0.000,0.349,0.000,0.014,0.000,0.000,0.000
model.000.01.pdb,0.711,0.000,0.211,0.125,0.250,0.190,0.000,0.333,0.014,0.095,0.156,0.108,0.132,0.086,0.081,0.255,0.148,0.230,0.203,0.643
model.000.02.pdb,0.263,0.000,0.067,0.152,0.548,0.167,0.000,0.241,0.000,0.000,0.327,0.000,0.309,0.000,0.000,0.231,0.444,0.129,0.737,0.103
model.000.03.pdb,0.095,0.086,0.197,0.049,0.000,0.113,0.136,0.041,0.638,0.133,0.000,0.551,0.013,0.314,0.151,0.000,0.000,0.162,0.000,0.074
model.000.04.pdb,0.012,0.596,0.000,0.000,0.000,0.000,0.238,0.000,0.176,0.571,0.000,0.179,0.000,0.014,0.582,0.000,0.000,0.000,0.000,0.056
model.000.05.pdb,0.000,0.448,0.000,0.000,0.000,0.000,0.291,0.000,0.028,0.174,0.000,0.000,0.000,0.000,0.081,0.000,0.045,0.000,0.000,0.000
model.000.06.pdb,0.500,0.000,0.595,0.339,0.360,0.553,0.000,0.707,0.076,0.000,0.358,0.111,0.271,0.271,0.000,0.523,0.097,0.659,0.150,0.264
model.000.07.pdb,0.071,0.347,0.000,0.000,0.000,0.000,0.135,0.000,0.089,0.649,0.000,0.197,0.000,0.013,0.661,0.000,0.025,0.000,0.000,0.171
model.000.08.pdb,0.000,0.525,0.000,0.000,0.000,0.000,0.481,0.000,0.129,0.208,0.000,0.013,0.000,0.000,0.162,0.000,0.013,0.000,0.000,0.000
model.000.09.pdb,0.167,0.000,0.078,0.446,0.489,0.250,0.000,0.263,0.000,0.000,0.574,0.000,0.674,0.000,0.000,0.380,0.228,0.172,0.340,0.062
model.000.10.pdb,0.316,0.000,0.098,0.053,0.333,0.106,0.000,0.207,0.000,0.013,0.220,0.000,0.172,0.000,0.026,0.175,0.511,0.106,0.500,0.155
model.000.11.pdb,0.150,0.056,0.173,0.043,0.000,0.117,0.033,0.032,0.300,0.259,0.000,0.730,0.000,0.196,0.220,0.000,0.000,0.155,0.000,0.220
model.000.12.pdb,0.099,0.118,0.186,0.051,0.000,0.118,0.180,0.043,0.850,0.093,0.000,0.490,0.013,0.333,0.191,0.000,0.000,0.152,0.000,0.077
model.000.13.pdb,0.681,0.000,0.203,0.122,0.309,0.203,0.000,0.298,0.014,0.078,0.188,0.072,0.145,0.083,0.079,0.246,0.180,0.203,0.259,0.511
model.000.14.pdb,0.114,0.133,0.148,0.038,0.000,0.101,0.091,0.028,0.396,0.323,0.000,0.780,0.013,0.185,0.306,0.000,0.000,0.134,0.000,0.186
model.000.15.pdb,0.056,0.000,0.196,0.646,0.308,0.327,0.000,0.296,0.014,0.000,0.500,0.014,0.596,0.089,0.000,0.396,0.062,0.281,0.169,0.031
model.000.16.pdb,0.000,0.456,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.113,0.000,0.062,0.000,0.014,0.000
model.000.17.pdb,0.000,0.026,0.000,0.169,0.066,0.029,0.138,0.015,0.015,0.000,0.113,0.000,0.161,0.000,0.000,0.067,0.048,0.014,0.065,0.000
model.000.18.pdb,0.304,0.000,0.140,0.242,0.784,0.246,0.000,0.333,0.000,0.000,0.429,0.000,0.431,0.017,0.000,0.327,0.320,0.203,0.595,0.121
model.000.19.pdb,0.281,0.000,0.066,0.069,0.375,0.109,0.000,0.172,0.000,0.013,0.250,0.000,0.197,0.000,0.027,0.161,0.500,0.076,0.558,0.121
