 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.738,0.421,0.000,0.000,0.000,0.365,0.453,0.153,0.000,0.440,0.059,0.000,0.480,0.580,0.000,0.000,0.375,0.027,0.000,0.000
model.000.01.pdb,0.531,0.537,0.079,0.000,0.000,0.553,0.756,0.111,0.000,0.609,0.072,0.000,0.462,0.446,0.000,0.030,0.646,0.027,0.032,0.000
model.000.02.pdb,0.000,0.014,0.727,0.000,0.016,0.088,0.133,0.000,0.000,0.033,0.000,0.179,0.000,0.014,0.062,0.568,0.115,0.015,0.559,0.317
model.000.03.pdb,0.475,0.696,0.026,0.000,0.000,0.466,0.492,0.139,0.000,0.564,0.075,0.000,0.467,0.388,0.000,0.013,0.492,0.187,0.000,0.000
model.000.04.pdb,0.000,0.030,0.514,0.018,0.055,0.074,0.016,0.000,0.000,0.017,0.000,0.170,0.000,0.000,0.085,0.500,0.000,0.148,0.400,0.351
model.000.05.pdb,0.000,0.027,0.000,0.140,0.065,0.000,0.000,0.260,0.169,0.031,0.595,0.000,0.078,0.014,0.000,0.000,0.043,0.077,0.000,0.000
model.000.06.pdb,0.000,0.000,0.000,0.763,0.511,0.000,0.000,0.032,0.919,0.000,0.131,0.333,0.000,0.000,0.321,0.049,0.000,0.043,0.017,0.132
model.000.07.pdb,0.468,0.540,0.107,0.000,0.000,0.861,0.698,0.016,0.000,0.659,0.000,0.000,0.296,0.271,0.000,0.068,0.622,0.060,0.018,0.000
model.000.08.pdb,0.628,0.625,0.000,0.000,0.000,0.478,0.574,0.161,0.000,0.769,0.131,0.000,0.614,0.462,0.000,0.000,0.644,0.059,0.000,0.000
model.000.09.pdb,0.000,0.000,0.000,0.658,0.561,0.000,0.000,0.017,0.634,0.000,0.032,0.478,0.000,0.000,0.489,0.091,0.000,0.062,0.058,0.217
model.000.10.pdb,0.500,0.480,0.000,0.000,0.000,0.231,0.296,0.326,0.000,0.444,0.182,0.000,0.811,0.532,0.000,0.000,0.346,0.046,0.000,0.000
model.000.11.pdb,0.630,0.482,0.015,0.000,0.000,0.352,0.463,0.167,0.000,0.480,0.057,0.000,0.551,0.723,0.000,0.000,0.411,0.027,0.016,0.000
model.000.12.pdb,0.000,0.000,0.000,0.319,0.167,0.000,0.000,0.071,0.347,0.000,0.362,0.063,0.000,0.000,0.045,0.000,0.000,0.098,0.000,0.000
model.000.13.pdb,0.578,0.580,0.000,0.000,0.000,0.380,0.442,0.245,0.000,0.628,0.167,0.000,0.714,0.510,0.000,0.000,0.500,0.043,0.000,0.000
model.000.14.pdb,0.000,0.057,0.595,0.000,0.000,0.164,0.167,0.000,0.000,0.066,0.000,0.062,0.000,0.014,0.000,0.364,0.111,0.062,0.250,0.120
model.000.15.pdb,0.500,0.537,0.079,0.000,0.000,0.521,0.717,0.094,0.000,0.644,0.072,0.000,0.434,0.328,0.000,0.030,0.927,0.055,0.032,0.000
model.000.16.pdb,0.353,0.351,0.000,0.000,0.000,0.175,0.237,0.524,0.014,0.333,0.236,0.000,0.489,0.415,0.028,0.000,0.237,0.014,0.000,0.000
model.000.17.pdb,0.000,0.000,0.000,0.164,0.121,0.000,0.000,0.127,0.193,0.000,0.404,0.015,0.030,0.014,0.014,0.000,0.014,0.169,0.000,0.000
model.000.18.pdb,0.000,0.013,0.107,0.031,0.175,0.047,0.014,0.000,0.061,0.015,0.015,0.060,0.000,0.000,0.043,0.125,0.000,0.479,0.055,0.093
model.000.19.pdb,0.500,0.566,0.079,0.000,0.000,0.553,0.756,0.111,0.000,0.682,0.088,0.000,0.434,0.397,0.000,0.030,0.756,0.027,0.032,0.000
