 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.141,0.204,0.153,0.000,0.096,0.532,0.250,0.130,0.000,0.273,0.529,0.044,0.295,0.511,0.055,0.134,0.443,0.151,0.694,0.000
model.000.01.pdb,0.015,0.000,0.068,0.081,0.027,0.000,0.027,0.028,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.113,0.000,0.070
model.000.02.pdb,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.127
model.000.03.pdb,0.636,0.231,0.577,0.012,0.756,0.000,0.362,0.674,0.147,0.131,0.000,0.029,0.000,0.000,0.013,0.027,0.048,0.482,0.038,0.026
model.000.04.pdb,0.230,0.196,0.308,0.000,0.139,0.370,0.464,0.212,0.000,0.200,0.379,0.000,0.141,0.304,0.000,0.054,0.500,0.303,0.518,0.000
model.000.05.pdb,0.000,0.154,0.000,0.000,0.000,0.558,0.071,0.028,0.000,0.275,0.521,0.119,0.609,0.610,0.125,0.268,0.239,0.000,0.472,0.000
model.000.06.pdb,0.031,0.000,0.070,0.238,0.159,0.000,0.000,0.109,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.233
model.000.07.pdb,0.157,0.106,0.264,0.000,0.086,0.194,0.333,0.117,0.000,0.099,0.211,0.000,0.048,0.145,0.000,0.024,0.574,0.278,0.300,0.000
model.000.08.pdb,0.057,0.320,0.063,0.000,0.052,0.521,0.125,0.113,0.000,0.449,0.491,0.200,0.429,0.532,0.182,0.328,0.254,0.049,0.500,0.000
model.000.09.pdb,0.000,0.000,0.000,0.569,0.000,0.000,0.000,0.000,0.121,0.000,0.000,0.158,0.000,0.000,0.200,0.060,0.000,0.000,0.000,0.462
model.000.10.pdb,0.000,0.000,0.000,0.114,0.000,0.000,0.000,0.000,0.014,0.000,0.014,0.000,0.014,0.000,0.000,0.000,0.038,0.000,0.000,0.028
model.000.11.pdb,0.333,0.083,0.556,0.000,0.314,0.017,0.340,0.413,0.065,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.103,0.543,0.045,0.015
model.000.12.pdb,0.605,0.298,0.463,0.025,0.617,0.015,0.333,0.805,0.210,0.200,0.014,0.047,0.000,0.015,0.028,0.043,0.050,0.379,0.068,0.041
model.000.13.pdb,0.014,0.000,0.039,0.093,0.027,0.000,0.013,0.027,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.080,0.000,0.068
model.000.14.pdb,0.533,0.151,0.756,0.013,0.434,0.015,0.490,0.480,0.071,0.065,0.014,0.000,0.000,0.000,0.000,0.000,0.151,0.702,0.097,0.027
model.000.15.pdb,0.000,0.000,0.013,0.660,0.043,0.000,0.000,0.014,0.286,0.000,0.000,0.208,0.014,0.000,0.228,0.095,0.000,0.000,0.000,0.721
model.000.16.pdb,0.000,0.035,0.000,0.000,0.000,0.610,0.057,0.000,0.000,0.103,0.636,0.032,0.521,0.585,0.076,0.186,0.302,0.013,0.510,0.000
model.000.17.pdb,0.000,0.038,0.000,0.190,0.000,0.016,0.000,0.015,0.045,0.111,0.015,0.525,0.190,0.034,0.718,0.500,0.000,0.000,0.043,0.183
model.000.18.pdb,0.000,0.000,0.000,0.310,0.000,0.000,0.000,0.000,0.094,0.000,0.000,0.016,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.220
model.000.19.pdb,0.000,0.000,0.000,0.134,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.014,0.000,0.015,0.000,0.039,0.000,0.000,0.043
