 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.054,0.014,0.067,0.373,0.418,0.000,0.000,0.390,0.000,0.000,0.370,0.255,0.073,0.271,0.000,0.255,0.298,0.389,0.000
model.000.01.pdb,0.000,0.014,0.062,0.000,0.089,0.146,0.000,0.000,0.690,0.000,0.000,0.111,0.037,0.014,0.319,0.000,0.232,0.343,0.422,0.000
model.000.02.pdb,0.000,0.241,0.040,0.385,0.560,0.623,0.121,0.000,0.111,0.000,0.038,0.577,0.750,0.314,0.122,0.027,0.116,0.093,0.122,0.000
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.182,0.000,0.000,0.046,0.000,0.423,0.000,0.581,0.377,0.370,0.000
model.000.04.pdb,0.000,0.040,0.000,0.163,0.312,0.365,0.054,0.000,0.154,0.000,0.031,0.288,0.512,0.106,0.193,0.000,0.192,0.155,0.193,0.000
model.000.05.pdb,0.172,0.286,0.762,0.172,0.138,0.093,0.094,0.340,0.024,0.000,0.083,0.114,0.090,0.212,0.000,0.200,0.000,0.000,0.000,0.094
model.000.06.pdb,0.286,0.155,0.696,0.059,0.083,0.049,0.042,0.426,0.084,0.000,0.065,0.065,0.013,0.098,0.000,0.169,0.000,0.000,0.000,0.156
model.000.07.pdb,0.000,0.436,0.081,0.743,0.457,0.389,0.260,0.000,0.026,0.000,0.092,0.392,0.535,0.514,0.014,0.140,0.000,0.000,0.014,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.221,0.117,0.000,0.000,0.014,0.000,0.434,0.000,0.346,0.531,0.310,0.015
model.000.09.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.224,0.119,0.000,0.000,0.000,0.000,0.389,0.000,0.278,0.542,0.271,0.000
model.000.10.pdb,0.000,0.000,0.000,0.000,0.071,0.137,0.000,0.000,0.475,0.044,0.000,0.082,0.072,0.000,0.509,0.000,0.396,0.549,0.538,0.000
model.000.11.pdb,0.000,0.094,0.030,0.235,0.438,0.540,0.048,0.000,0.174,0.000,0.014,0.460,0.545,0.160,0.156,0.000,0.153,0.141,0.175,0.000
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.295,0.086,0.000,0.014,0.015,0.000,0.532,0.000,0.347,0.543,0.412,0.000
model.000.13.pdb,0.000,0.000,0.000,0.000,0.110,0.156,0.000,0.000,0.576,0.055,0.000,0.118,0.111,0.000,0.593,0.000,0.509,0.604,0.686,0.000
model.000.14.pdb,0.000,0.192,0.014,0.314,0.553,0.588,0.131,0.000,0.149,0.000,0.027,0.510,0.674,0.265,0.147,0.029,0.143,0.116,0.164,0.000
model.000.15.pdb,0.049,0.439,0.522,0.255,0.250,0.164,0.100,0.157,0.065,0.000,0.028,0.194,0.150,0.341,0.000,0.153,0.000,0.000,0.000,0.015
model.000.16.pdb,0.000,0.327,0.081,0.396,0.778,0.725,0.134,0.000,0.136,0.000,0.024,0.826,0.580,0.408,0.062,0.054,0.053,0.063,0.090,0.000
model.000.17.pdb,0.119,0.356,0.286,0.320,0.125,0.081,0.447,0.245,0.000,0.000,0.267,0.118,0.127,0.326,0.000,0.556,0.000,0.000,0.000,0.097
model.000.18.pdb,0.000,0.314,0.068,0.412,0.625,0.593,0.156,0.000,0.098,0.000,0.038,0.708,0.571,0.396,0.064,0.070,0.055,0.051,0.064,0.000
model.000.19.pdb,0.000,0.000,0.039,0.000,0.159,0.205,0.000,0.000,0.736,0.000,0.000,0.167,0.097,0.000,0.393,0.000,0.274,0.424,0.518,0.000
