 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.333,0.000,0.431,0.217,0.000,0.141,0.175,0.039,0.219,0.000,0.219,0.349,0.242,0.237,0.449,0.064,0.000,0.000,0.074,0.183
model.000.01.pdb,0.000,0.266,0.023,0.026,0.290,0.000,0.000,0.132,0.000,0.508,0.000,0.000,0.000,0.013,0.000,0.216,0.500,0.525,0.000,0.083
model.000.02.pdb,0.391,0.000,0.103,0.413,0.000,0.477,0.535,0.000,0.522,0.000,0.250,0.481,0.533,0.477,0.432,0.000,0.000,0.000,0.048,0.167
model.000.03.pdb,0.188,0.040,0.074,0.185,0.013,0.328,0.393,0.012,0.414,0.000,0.577,0.589,0.528,0.203,0.154,0.000,0.000,0.000,0.453,0.042
model.000.04.pdb,0.121,0.015,0.169,0.065,0.000,0.065,0.098,0.143,0.092,0.000,0.511,0.279,0.228,0.065,0.085,0.013,0.000,0.000,0.347,0.000
model.000.05.pdb,0.321,0.000,0.110,0.315,0.000,0.420,0.500,0.000,0.490,0.000,0.462,0.627,0.705,0.340,0.278,0.000,0.000,0.000,0.203,0.113
model.000.06.pdb,0.000,0.259,0.000,0.031,0.489,0.000,0.000,0.043,0.000,0.491,0.000,0.000,0.000,0.015,0.000,0.027,0.574,0.571,0.000,0.102
model.000.07.pdb,0.264,0.000,0.147,0.214,0.000,0.236,0.302,0.014,0.281,0.000,0.490,0.538,0.469,0.236,0.294,0.000,0.000,0.000,0.193,0.048
model.000.08.pdb,0.133,0.014,0.013,0.327,0.113,0.255,0.228,0.000,0.194,0.157,0.000,0.080,0.106,0.255,0.136,0.000,0.169,0.179,0.000,0.340
model.000.09.pdb,0.152,0.083,0.192,0.085,0.069,0.000,0.000,0.012,0.012,0.254,0.000,0.023,0.000,0.132,0.119,0.359,0.235,0.243,0.000,0.190
model.000.10.pdb,0.113,0.014,0.081,0.077,0.000,0.167,0.224,0.070,0.250,0.000,0.744,0.491,0.396,0.094,0.079,0.000,0.000,0.000,0.522,0.000
model.000.11.pdb,0.396,0.000,0.130,0.478,0.000,0.214,0.211,0.000,0.259,0.013,0.000,0.127,0.143,0.511,0.375,0.040,0.071,0.083,0.000,0.571
model.000.12.pdb,0.075,0.028,0.064,0.074,0.000,0.177,0.213,0.097,0.238,0.000,0.696,0.441,0.351,0.090,0.044,0.000,0.000,0.000,0.659,0.000
model.000.13.pdb,0.318,0.000,0.078,0.475,0.000,0.639,0.667,0.000,0.600,0.000,0.067,0.246,0.370,0.475,0.267,0.000,0.000,0.000,0.017,0.188
model.000.14.pdb,0.103,0.055,0.229,0.101,0.101,0.000,0.000,0.012,0.013,0.205,0.000,0.011,0.000,0.118,0.104,0.344,0.297,0.365,0.000,0.233
model.000.15.pdb,0.185,0.000,0.103,0.140,0.000,0.182,0.269,0.000,0.273,0.000,0.628,0.604,0.500,0.140,0.212,0.000,0.000,0.000,0.275,0.033
model.000.16.pdb,0.000,0.063,0.134,0.000,0.015,0.000,0.000,0.469,0.000,0.000,0.109,0.026,0.014,0.000,0.000,0.169,0.000,0.000,0.200,0.000
model.000.17.pdb,0.346,0.000,0.110,0.365,0.000,0.392,0.469,0.000,0.490,0.000,0.357,0.596,0.667,0.420,0.408,0.000,0.000,0.000,0.127,0.150
model.000.18.pdb,0.015,0.015,0.132,0.000,0.000,0.000,0.015,0.281,0.014,0.000,0.263,0.113,0.092,0.000,0.016,0.116,0.000,0.000,0.288,0.000
model.000.19.pdb,0.391,0.000,0.531,0.204,0.000,0.083,0.100,0.000,0.148,0.000,0.094,0.242,0.169,0.275,0.537,0.103,0.000,0.014,0.000,0.286
