 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.409,0.317,0.440,0.000,0.255,0.130,0.725,0.314,0.000,0.229,0.136,0.000,0.030,0.111,0.000,0.032,0.305,0.431,0.286,0.000
model.000.01.pdb,0.083,0.094,0.143,0.000,0.037,0.400,0.232,0.051,0.000,0.119,0.383,0.000,0.151,0.310,0.000,0.066,0.755,0.141,0.467,0.000
model.000.02.pdb,0.628,0.265,0.569,0.012,0.638,0.000,0.375,0.667,0.152,0.175,0.000,0.015,0.000,0.000,0.000,0.014,0.037,0.446,0.053,0.026
model.000.03.pdb,0.000,0.262,0.000,0.000,0.000,0.277,0.062,0.065,0.000,0.415,0.294,0.255,0.426,0.341,0.250,0.455,0.152,0.000,0.340,0.000
model.000.04.pdb,0.486,0.424,0.327,0.000,0.476,0.038,0.348,0.500,0.089,0.238,0.034,0.019,0.000,0.039,0.000,0.018,0.045,0.222,0.102,0.000
model.000.05.pdb,0.031,0.000,0.086,0.099,0.058,0.000,0.014,0.060,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.132,0.000,0.072
model.000.06.pdb,0.014,0.000,0.053,0.065,0.013,0.000,0.027,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.080,0.000,0.040
model.000.07.pdb,0.372,0.062,0.353,0.060,0.535,0.000,0.138,0.422,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.296,0.000,0.098
model.000.08.pdb,0.000,0.078,0.000,0.000,0.000,0.512,0.045,0.015,0.000,0.176,0.581,0.070,0.568,0.649,0.117,0.222,0.219,0.000,0.521,0.000
model.000.09.pdb,0.000,0.019,0.000,0.000,0.000,0.564,0.015,0.000,0.000,0.113,0.675,0.053,0.545,0.667,0.100,0.204,0.222,0.000,0.440,0.000
model.000.10.pdb,0.081,0.157,0.116,0.000,0.057,0.500,0.233,0.075,0.000,0.164,0.565,0.000,0.281,0.444,0.014,0.111,0.491,0.130,0.638,0.000
model.000.11.pdb,0.564,0.325,0.479,0.000,0.478,0.034,0.478,0.535,0.081,0.184,0.031,0.017,0.000,0.035,0.000,0.016,0.070,0.385,0.092,0.000
model.000.12.pdb,0.000,0.085,0.015,0.000,0.000,0.758,0.082,0.016,0.000,0.191,0.684,0.056,0.413,0.781,0.068,0.170,0.321,0.014,0.605,0.000
model.000.13.pdb,0.123,0.226,0.153,0.000,0.081,0.469,0.270,0.114,0.000,0.250,0.500,0.029,0.254,0.392,0.027,0.134,0.492,0.151,0.660,0.000
model.000.14.pdb,0.711,0.295,0.562,0.013,0.636,0.016,0.440,0.750,0.145,0.192,0.014,0.016,0.000,0.016,0.000,0.015,0.081,0.434,0.087,0.028
model.000.15.pdb,0.088,0.000,0.161,0.042,0.113,0.000,0.062,0.117,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.217,0.000,0.029
model.000.16.pdb,0.600,0.143,0.673,0.012,0.646,0.000,0.411,0.540,0.130,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.101,0.596,0.051,0.026
model.000.17.pdb,0.049,0.000,0.072,0.288,0.183,0.000,0.000,0.113,0.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.000,0.333
model.000.18.pdb,0.489,0.127,0.569,0.025,0.571,0.000,0.305,0.531,0.152,0.047,0.000,0.015,0.000,0.000,0.000,0.000,0.049,0.500,0.026,0.040
model.000.19.pdb,0.161,0.185,0.206,0.000,0.097,0.340,0.339,0.132,0.000,0.190,0.351,0.000,0.114,0.273,0.000,0.056,0.673,0.203,0.464,0.000
