 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.288,0.037,0.027,0.293,0.000,0.000,0.141,0.000,0.554,0.000,0.000,0.000,0.014,0.000,0.214,0.439,0.441,0.000,0.090
model.000.01.pdb,0.278,0.000,0.538,0.129,0.000,0.061,0.092,0.041,0.136,0.000,0.210,0.262,0.156,0.167,0.388,0.127,0.000,0.000,0.077,0.172
model.000.02.pdb,0.049,0.000,0.210,0.000,0.000,0.000,0.015,0.224,0.029,0.000,0.273,0.132,0.131,0.000,0.050,0.103,0.000,0.000,0.250,0.000
model.000.03.pdb,0.237,0.000,0.037,0.423,0.057,0.233,0.230,0.000,0.234,0.075,0.000,0.103,0.130,0.321,0.200,0.000,0.110,0.120,0.000,0.440
model.000.04.pdb,0.086,0.147,0.074,0.100,0.185,0.000,0.000,0.051,0.012,0.413,0.000,0.011,0.000,0.100,0.071,0.243,0.400,0.450,0.000,0.210
model.000.05.pdb,0.000,0.511,0.013,0.000,0.400,0.000,0.000,0.267,0.000,0.547,0.000,0.000,0.000,0.000,0.000,0.159,0.351,0.311,0.000,0.000
model.000.06.pdb,0.367,0.000,0.147,0.283,0.000,0.259,0.327,0.014,0.327,0.000,0.404,0.509,0.469,0.308,0.435,0.000,0.000,0.000,0.133,0.138
model.000.07.pdb,0.108,0.050,0.274,0.092,0.064,0.000,0.000,0.000,0.011,0.218,0.000,0.022,0.000,0.122,0.110,0.409,0.268,0.257,0.000,0.191
model.000.08.pdb,0.000,0.400,0.024,0.013,0.520,0.000,0.000,0.171,0.000,0.833,0.000,0.000,0.000,0.000,0.000,0.147,0.537,0.433,0.000,0.057
model.000.09.pdb,0.062,0.076,0.081,0.014,0.029,0.061,0.092,0.118,0.136,0.000,0.596,0.302,0.233,0.014,0.062,0.000,0.000,0.000,0.750,0.000
model.000.10.pdb,0.031,0.000,0.279,0.000,0.000,0.000,0.000,0.213,0.014,0.000,0.197,0.096,0.059,0.000,0.065,0.219,0.000,0.000,0.115,0.000
model.000.11.pdb,0.452,0.000,0.161,0.476,0.000,0.148,0.145,0.000,0.196,0.014,0.000,0.121,0.138,0.512,0.429,0.075,0.062,0.091,0.000,0.622
model.000.12.pdb,0.186,0.014,0.038,0.392,0.092,0.291,0.263,0.000,0.267,0.137,0.000,0.107,0.119,0.315,0.190,0.000,0.147,0.157,0.000,0.408
model.000.13.pdb,0.224,0.000,0.577,0.108,0.000,0.059,0.090,0.054,0.116,0.000,0.222,0.235,0.152,0.125,0.273,0.139,0.000,0.000,0.075,0.129
model.000.14.pdb,0.346,0.000,0.125,0.449,0.014,0.145,0.143,0.000,0.188,0.051,0.000,0.107,0.119,0.420,0.327,0.080,0.147,0.174,0.000,0.643
model.000.15.pdb,0.098,0.078,0.026,0.097,0.046,0.214,0.255,0.028,0.259,0.000,0.587,0.429,0.358,0.115,0.065,0.000,0.000,0.000,0.545,0.000
model.000.16.pdb,0.000,0.373,0.026,0.000,0.278,0.000,0.000,0.316,0.000,0.473,0.000,0.000,0.000,0.000,0.000,0.234,0.288,0.254,0.000,0.000
model.000.17.pdb,0.000,0.320,0.000,0.000,0.250,0.083,0.031,0.145,0.029,0.132,0.129,0.085,0.062,0.000,0.000,0.000,0.108,0.056,0.250,0.000
model.000.18.pdb,0.083,0.031,0.206,0.031,0.000,0.031,0.047,0.143,0.060,0.000,0.420,0.219,0.167,0.031,0.085,0.041,0.000,0.000,0.347,0.000
model.000.19.pdb,0.032,0.000,0.288,0.000,0.000,0.000,0.000,0.200,0.014,0.000,0.203,0.083,0.061,0.000,0.032,0.206,0.000,0.000,0.138,0.000
