 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.127,0.217,0.000,0.104,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.016,0.000,0.120,0.429,0.000,0.169,0.038,0.154
model.000.01.pdb,0.254,0.045,0.000,0.294,0.000,0.000,0.136,0.163,0.512,0.121,0.730,0.122,0.125,0.522,0.000,0.000,0.164,0.000,0.000,0.000
model.000.02.pdb,0.254,0.000,0.041,0.392,0.100,0.044,0.241,0.107,0.591,0.429,0.353,0.304,0.062,0.415,0.176,0.000,0.583,0.000,0.197,0.099
model.000.03.pdb,0.210,0.094,0.000,0.241,0.000,0.000,0.133,0.160,0.435,0.119,0.585,0.120,0.123,0.449,0.000,0.000,0.180,0.000,0.000,0.000
model.000.04.pdb,0.458,0.000,0.000,0.676,0.030,0.075,0.432,0.019,0.419,0.326,0.333,0.417,0.135,0.535,0.083,0.000,0.264,0.000,0.086,0.030
model.000.05.pdb,0.000,0.029,0.451,0.000,0.172,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.365,0.014,0.167,0.064,0.226
model.000.06.pdb,0.468,0.000,0.000,0.649,0.031,0.164,0.632,0.020,0.304,0.364,0.204,0.613,0.055,0.413,0.069,0.000,0.269,0.000,0.103,0.062
model.000.07.pdb,0.542,0.015,0.000,0.692,0.014,0.111,0.426,0.018,0.444,0.226,0.422,0.341,0.145,0.628,0.025,0.000,0.203,0.000,0.039,0.028
model.000.08.pdb,0.127,0.562,0.000,0.059,0.000,0.021,0.028,0.000,0.044,0.000,0.111,0.000,0.500,0.134,0.000,0.000,0.000,0.000,0.000,0.000
model.000.09.pdb,0.091,0.215,0.025,0.056,0.000,0.000,0.013,0.117,0.103,0.000,0.213,0.000,0.197,0.212,0.000,0.040,0.025,0.000,0.000,0.012
model.000.10.pdb,0.359,0.051,0.000,0.339,0.076,0.471,0.538,0.000,0.099,0.182,0.069,0.308,0.056,0.169,0.092,0.000,0.091,0.000,0.163,0.103
model.000.11.pdb,0.197,0.000,0.065,0.262,0.107,0.010,0.164,0.236,0.551,0.407,0.442,0.222,0.028,0.397,0.163,0.000,0.577,0.000,0.167,0.091
model.000.12.pdb,0.000,0.000,0.628,0.000,0.340,0.023,0.000,0.191,0.000,0.067,0.000,0.000,0.000,0.000,0.286,0.288,0.077,0.222,0.215,0.385
model.000.13.pdb,0.000,0.078,0.291,0.000,0.143,0.023,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.139,0.511,0.000,0.264,0.053,0.197
model.000.14.pdb,0.356,0.056,0.000,0.333,0.083,0.433,0.553,0.000,0.076,0.183,0.045,0.326,0.095,0.118,0.086,0.000,0.100,0.014,0.178,0.113
model.000.15.pdb,0.039,0.028,0.118,0.014,0.305,0.532,0.075,0.000,0.000,0.077,0.000,0.053,0.000,0.000,0.279,0.197,0.013,0.333,0.371,0.200
model.000.16.pdb,0.000,0.032,0.031,0.034,0.000,0.000,0.000,0.444,0.176,0.091,0.341,0.000,0.018,0.161,0.027,0.000,0.158,0.000,0.014,0.000
model.000.17.pdb,0.000,0.000,0.432,0.000,0.255,0.000,0.000,0.441,0.018,0.118,0.057,0.000,0.000,0.000,0.233,0.111,0.167,0.113,0.180,0.250
model.000.18.pdb,0.206,0.000,0.068,0.321,0.096,0.043,0.190,0.327,0.521,0.431,0.412,0.312,0.029,0.368,0.139,0.000,0.519,0.000,0.158,0.095
model.000.19.pdb,0.000,0.000,0.519,0.000,0.509,0.114,0.000,0.121,0.000,0.141,0.000,0.000,0.000,0.000,0.552,0.434,0.097,0.471,0.375,0.446
