 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,1.000,0.056,0.000,0.600,0.013,0.200,0.622,0.000,0.291,0.164,0.250,0.326,0.232,0.434,0.000,0.000,0.149,0.000,0.049,0.000
model.000.01.pdb,0.056,1.000,0.000,0.015,0.000,0.058,0.015,0.000,0.000,0.000,0.000,0.000,0.455,0.029,0.000,0.015,0.000,0.000,0.000,0.000
model.000.02.pdb,0.000,0.000,1.000,0.000,0.442,0.033,0.000,0.176,0.000,0.079,0.000,0.000,0.000,0.000,0.393,0.340,0.072,0.373,0.277,0.407
model.000.03.pdb,0.600,0.015,0.000,1.000,0.029,0.158,0.625,0.000,0.340,0.286,0.319,0.472,0.151,0.478,0.039,0.000,0.211,0.000,0.054,0.044
model.000.04.pdb,0.013,0.000,0.442,0.029,1.000,0.175,0.044,0.109,0.015,0.190,0.000,0.054,0.000,0.014,0.593,0.220,0.136,0.420,0.556,0.674
model.000.05.pdb,0.200,0.058,0.033,0.158,0.175,1.000,0.290,0.000,0.000,0.087,0.000,0.149,0.037,0.034,0.169,0.111,0.022,0.187,0.259,0.131
model.000.06.pdb,0.622,0.015,0.000,0.625,0.044,0.290,1.000,0.000,0.185,0.231,0.145,0.500,0.088,0.278,0.052,0.000,0.148,0.000,0.113,0.059
model.000.07.pdb,0.000,0.000,0.176,0.000,0.109,0.000,0.000,1.000,0.125,0.102,0.205,0.000,0.000,0.035,0.109,0.000,0.200,0.018,0.095,0.107
model.000.08.pdb,0.291,0.000,0.000,0.340,0.015,0.000,0.185,0.125,1.000,0.240,0.605,0.238,0.071,0.558,0.053,0.000,0.388,0.000,0.041,0.000
model.000.09.pdb,0.164,0.000,0.079,0.286,0.190,0.087,0.231,0.102,0.240,1.000,0.173,0.405,0.000,0.218,0.274,0.000,0.511,0.016,0.305,0.186
model.000.10.pdb,0.250,0.000,0.000,0.319,0.000,0.000,0.145,0.205,0.605,0.173,1.000,0.133,0.093,0.500,0.013,0.000,0.218,0.000,0.000,0.000
model.000.11.pdb,0.326,0.000,0.000,0.472,0.054,0.149,0.500,0.000,0.238,0.405,0.133,1.000,0.000,0.267,0.095,0.000,0.261,0.000,0.136,0.071
model.000.12.pdb,0.232,0.455,0.000,0.151,0.000,0.037,0.088,0.000,0.071,0.000,0.093,0.000,1.000,0.161,0.000,0.000,0.000,0.000,0.000,0.000
model.000.13.pdb,0.434,0.029,0.000,0.478,0.014,0.034,0.278,0.035,0.558,0.218,0.500,0.267,0.161,1.000,0.024,0.000,0.281,0.000,0.038,0.000
model.000.14.pdb,0.000,0.000,0.393,0.039,0.593,0.169,0.052,0.109,0.053,0.274,0.013,0.095,0.000,0.024,1.000,0.262,0.214,0.421,0.541,0.582
model.000.15.pdb,0.000,0.015,0.340,0.000,0.220,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,1.000,0.000,0.489,0.127,0.197
model.000.16.pdb,0.149,0.000,0.072,0.211,0.136,0.022,0.148,0.200,0.388,0.511,0.218,0.261,0.000,0.281,0.214,0.000,1.000,0.000,0.203,0.118
model.000.17.pdb,0.000,0.000,0.373,0.000,0.420,0.187,0.000,0.018,0.000,0.016,0.000,0.000,0.000,0.000,0.421,0.489,0.000,1.000,0.234,0.333
model.000.18.pdb,0.049,0.000,0.277,0.054,0.556,0.259,0.113,0.095,0.041,0.305,0.000,0.136,0.000,0.038,0.541,0.127,0.203,0.234,1.000,0.417
model.000.19.pdb,0.000,0.000,0.407,0.044,0.674,0.131,0.059,0.107,0.000,0.186,0.000,0.071,0.000,0.000,0.582,0.197,0.118,0.333,0.417,1.000
