 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.031,0.157,0.069,0.000,0.000,0.535,0.175,0.029,0.000,0.255,0.500,0.102,0.352,0.444,0.109,0.250,0.464,0.068,0.604,0.000
model.000.01.pdb,0.056,0.081,0.104,0.000,0.025,0.574,0.224,0.053,0.000,0.143,0.600,0.043,0.306,0.553,0.053,0.130,0.552,0.117,0.667,0.000
model.000.02.pdb,0.463,0.156,0.591,0.014,0.523,0.000,0.288,0.625,0.138,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.479,0.014,0.030
model.000.03.pdb,0.000,0.000,0.000,0.551,0.029,0.000,0.000,0.000,0.250,0.000,0.000,0.069,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.532
model.000.04.pdb,0.000,0.000,0.000,0.426,0.059,0.000,0.000,0.000,0.315,0.000,0.000,0.033,0.000,0.000,0.015,0.000,0.000,0.027,0.000,0.404
model.000.05.pdb,0.161,0.163,0.230,0.000,0.091,0.333,0.412,0.129,0.000,0.192,0.346,0.016,0.127,0.312,0.015,0.079,0.538,0.246,0.471,0.000
model.000.06.pdb,0.203,0.235,0.227,0.000,0.130,0.429,0.393,0.169,0.000,0.236,0.434,0.000,0.185,0.380,0.014,0.088,0.536,0.224,0.620,0.000
model.000.07.pdb,0.000,0.000,0.000,0.042,0.000,0.196,0.000,0.000,0.000,0.054,0.218,0.154,0.511,0.250,0.269,0.275,0.041,0.000,0.200,0.045
model.000.08.pdb,0.000,0.000,0.000,0.600,0.014,0.000,0.000,0.000,0.233,0.000,0.000,0.082,0.000,0.000,0.091,0.014,0.000,0.000,0.000,0.490
model.000.09.pdb,0.100,0.115,0.134,0.000,0.043,0.585,0.259,0.060,0.000,0.145,0.578,0.000,0.263,0.524,0.014,0.095,0.528,0.149,0.583,0.000
model.000.10.pdb,0.000,0.000,0.000,0.054,0.000,0.121,0.000,0.000,0.000,0.000,0.145,0.000,0.263,0.143,0.077,0.062,0.025,0.000,0.086,0.028
model.000.11.pdb,0.150,0.000,0.113,0.446,0.246,0.000,0.013,0.156,0.562,0.000,0.000,0.047,0.000,0.000,0.043,0.000,0.000,0.081,0.000,0.510
model.000.12.pdb,0.000,0.071,0.000,0.000,0.000,0.634,0.071,0.014,0.000,0.161,0.738,0.065,0.480,0.650,0.091,0.203,0.317,0.013,0.529,0.000
model.000.13.pdb,0.014,0.226,0.012,0.000,0.013,0.532,0.096,0.068,0.000,0.346,0.560,0.183,0.436,0.543,0.167,0.288,0.275,0.024,0.482,0.000
model.000.14.pdb,0.060,0.000,0.038,0.537,0.130,0.000,0.000,0.070,0.510,0.000,0.000,0.232,0.000,0.000,0.172,0.104,0.000,0.025,0.000,0.646
model.000.15.pdb,0.356,0.082,0.392,0.058,0.511,0.000,0.193,0.467,0.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.358,0.014,0.113
model.000.16.pdb,0.145,0.260,0.174,0.000,0.099,0.489,0.345,0.134,0.000,0.259,0.520,0.000,0.185,0.408,0.000,0.057,0.458,0.171,0.588,0.000
model.000.17.pdb,0.015,0.000,0.068,0.025,0.013,0.046,0.041,0.000,0.042,0.000,0.042,0.000,0.014,0.031,0.000,0.000,0.217,0.096,0.013,0.027
model.000.18.pdb,0.366,0.091,0.294,0.062,0.575,0.000,0.105,0.386,0.319,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.000,0.103
model.000.19.pdb,0.188,0.021,0.175,0.150,0.362,0.000,0.032,0.240,0.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.000,0.226
