 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.014,0.185,0.062,0.013,0.226,0.000,0.000,0.079,0.000,0.419,0.000,0.000,0.000,0.027,0.014,0.303,0.407,0.483,0.000,0.072
model.000.01.pdb,0.000,0.362,0.014,0.000,0.260,0.000,0.000,0.278,0.000,0.415,0.000,0.000,0.000,0.000,0.000,0.177,0.228,0.197,0.000,0.000
model.000.02.pdb,0.000,0.053,0.000,0.135,0.204,0.093,0.071,0.000,0.049,0.246,0.000,0.000,0.000,0.073,0.000,0.000,0.294,0.302,0.000,0.213
model.000.03.pdb,0.395,0.000,0.164,0.271,0.000,0.245,0.292,0.000,0.269,0.000,0.269,0.460,0.413,0.271,0.439,0.000,0.000,0.000,0.052,0.135
model.000.04.pdb,0.000,0.305,0.000,0.027,0.382,0.000,0.000,0.108,0.000,0.544,0.000,0.000,0.000,0.013,0.000,0.147,0.627,0.654,0.000,0.072
model.000.05.pdb,0.294,0.000,0.203,0.218,0.000,0.175,0.214,0.028,0.220,0.000,0.412,0.436,0.392,0.218,0.300,0.000,0.000,0.000,0.136,0.083
model.000.06.pdb,0.000,0.263,0.000,0.044,0.315,0.000,0.000,0.069,0.000,0.509,0.000,0.000,0.000,0.029,0.000,0.157,0.560,0.620,0.000,0.113
model.000.07.pdb,0.500,0.000,0.127,0.667,0.000,0.273,0.291,0.000,0.339,0.012,0.027,0.206,0.254,0.628,0.388,0.026,0.055,0.067,0.000,0.478
model.000.08.pdb,0.041,0.114,0.074,0.069,0.149,0.000,0.000,0.025,0.000,0.348,0.000,0.000,0.000,0.069,0.042,0.299,0.400,0.475,0.000,0.154
model.000.09.pdb,0.321,0.013,0.133,0.364,0.071,0.103,0.101,0.000,0.143,0.101,0.000,0.074,0.082,0.339,0.281,0.062,0.171,0.214,0.000,0.622
model.000.10.pdb,0.046,0.061,0.013,0.095,0.030,0.408,0.373,0.000,0.370,0.025,0.423,0.328,0.327,0.113,0.015,0.000,0.000,0.000,0.408,0.000
model.000.11.pdb,0.101,0.013,0.426,0.055,0.013,0.000,0.000,0.012,0.000,0.060,0.000,0.011,0.000,0.100,0.103,0.426,0.105,0.130,0.000,0.119
model.000.12.pdb,0.377,0.000,0.151,0.480,0.014,0.175,0.190,0.000,0.234,0.049,0.000,0.117,0.130,0.451,0.333,0.077,0.110,0.151,0.000,0.636
model.000.13.pdb,0.000,0.175,0.000,0.000,0.177,0.106,0.088,0.068,0.114,0.104,0.258,0.197,0.167,0.000,0.000,0.000,0.081,0.051,0.404,0.000
model.000.14.pdb,0.097,0.013,0.429,0.013,0.000,0.000,0.000,0.049,0.000,0.122,0.024,0.045,0.024,0.053,0.114,0.552,0.087,0.084,0.000,0.083
model.000.15.pdb,0.296,0.000,0.110,0.315,0.000,0.449,0.532,0.000,0.490,0.000,0.407,0.660,0.667,0.365,0.327,0.000,0.000,0.000,0.164,0.131
model.000.16.pdb,0.079,0.029,0.039,0.062,0.015,0.169,0.207,0.014,0.233,0.000,0.721,0.473,0.352,0.078,0.047,0.000,0.000,0.000,0.500,0.000
model.000.17.pdb,0.106,0.042,0.024,0.121,0.014,0.321,0.339,0.026,0.362,0.012,0.463,0.433,0.444,0.138,0.091,0.000,0.000,0.000,0.451,0.014
model.000.18.pdb,0.061,0.043,0.013,0.076,0.014,0.291,0.333,0.013,0.333,0.000,0.583,0.431,0.364,0.092,0.030,0.000,0.000,0.000,0.511,0.000
model.000.19.pdb,0.203,0.014,0.079,0.309,0.075,0.108,0.106,0.000,0.116,0.105,0.000,0.050,0.027,0.241,0.148,0.051,0.179,0.224,0.000,0.429
