 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.241,0.000,0.155,0.056,0.132,0.109,0.279,0.034,0.037,0.250,0.000,0.034,0.000
model.000.01.pdb,0.415,0.182,0.226,0.784,0.022,0.622,0.024,0.031,0.188,0.011,0.080,0.064,0.327,0.048,0.000
model.000.02.pdb,0.000,0.063,0.012,0.037,0.606,0.070,0.661,0.608,0.011,0.453,0.408,0.062,0.037,0.551,0.119
model.000.03.pdb,0.091,0.082,0.254,0.013,0.135,0.036,0.032,0.096,0.406,0.051,0.011,0.644,0.000,0.052,0.129
model.000.04.pdb,0.317,0.196,0.052,0.632,0.011,0.468,0.026,0.067,0.043,0.062,0.185,0.000,0.605,0.091,0.000
model.000.05.pdb,0.090,0.053,0.231,0.013,0.158,0.035,0.053,0.085,0.379,0.050,0.011,0.661,0.000,0.062,0.109
model.000.06.pdb,0.000,0.075,0.000,0.012,0.589,0.011,0.544,0.512,0.010,0.500,0.342,0.072,0.036,0.473,0.262
model.000.07.pdb,0.200,0.053,0.519,0.333,0.038,0.500,0.077,0.065,0.452,0.010,0.056,0.198,0.129,0.085,0.000
model.000.08.pdb,0.039,0.000,0.429,0.151,0.034,0.214,0.053,0.056,0.246,0.000,0.027,0.130,0.071,0.037,0.000
model.000.09.pdb,0.000,0.075,0.014,0.043,0.437,0.067,0.569,0.551,0.000,0.386,0.517,0.023,0.043,0.462,0.068
model.000.10.pdb,0.193,0.056,0.500,0.357,0.040,0.509,0.068,0.058,0.433,0.031,0.058,0.177,0.119,0.077,0.000
model.000.11.pdb,0.024,0.152,0.011,0.082,0.458,0.100,0.486,0.595,0.010,0.526,0.646,0.058,0.197,0.606,0.051
model.000.12.pdb,0.562,0.326,0.056,0.487,0.000,0.327,0.000,0.022,0.097,0.025,0.090,0.014,0.357,0.026,0.000
model.000.13.pdb,0.273,0.085,0.540,0.368,0.019,0.491,0.055,0.067,0.517,0.030,0.045,0.203,0.132,0.075,0.000
model.000.14.pdb,0.000,0.038,0.000,0.012,0.632,0.023,0.613,0.526,0.011,0.493,0.347,0.076,0.025,0.486,0.241
