 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.519,0.078,0.125,0.085,0.060,0.148,0.078,0.080,0.130,0.150,0.549,0.097,0.414,0.138,0.358
model.000.01.pdb,0.082,0.292,0.011,0.160,0.010,0.493,0.011,0.387,0.010,0.522,0.171,0.455,0.034,0.464,0.051
model.000.02.pdb,0.316,0.000,0.574,0.000,0.397,0.000,0.434,0.012,0.509,0.000,0.241,0.000,0.339,0.000,0.250
model.000.03.pdb,0.460,0.028,0.358,0.133,0.317,0.037,0.276,0.037,0.258,0.051,0.111,0.033,0.490,0.012,0.432
model.000.04.pdb,0.087,0.101,0.370,0.000,0.191,0.036,0.206,0.101,0.290,0.024,0.180,0.033,0.087,0.037,0.016
model.000.05.pdb,0.069,0.040,0.246,0.161,0.482,0.048,0.393,0.099,0.323,0.012,0.000,0.183,0.100,0.103,0.117
model.000.06.pdb,0.191,0.051,0.739,0.000,0.611,0.034,0.640,0.094,0.686,0.022,0.147,0.041,0.191,0.047,0.145
model.000.07.pdb,0.379,0.066,0.162,0.000,0.089,0.058,0.110,0.034,0.164,0.034,0.711,0.031,0.333,0.047,0.228
model.000.08.pdb,0.364,0.056,0.194,0.014,0.095,0.024,0.118,0.036,0.194,0.024,0.600,0.022,0.316,0.024,0.226
model.000.09.pdb,0.000,0.311,0.000,0.175,0.149,0.268,0.127,0.400,0.105,0.290,0.000,0.523,0.000,0.333,0.000
model.000.10.pdb,0.141,0.051,0.667,0.000,0.475,0.011,0.519,0.107,0.593,0.022,0.130,0.063,0.141,0.047,0.076
model.000.11.pdb,0.290,0.025,0.681,0.014,0.433,0.022,0.473,0.070,0.604,0.011,0.242,0.010,0.333,0.023,0.228
model.000.12.pdb,0.106,0.042,0.286,0.000,0.097,0.000,0.121,0.024,0.200,0.000,0.296,0.000,0.106,0.000,0.000
model.000.13.pdb,0.000,0.397,0.039,0.172,0.211,0.300,0.191,0.438,0.149,0.324,0.013,0.538,0.000,0.391,0.000
model.000.14.pdb,0.127,0.029,0.321,0.000,0.132,0.012,0.161,0.037,0.267,0.000,0.283,0.000,0.145,0.000,0.034
