 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.085,0.145,0.081,0.348,0.057,0.508,0.000,0.406,0.051,0.154,0.026,0.000,0.034,0.590,0.111
model.000.01.pdb,0.593,0.079,0.636,0.117,0.780,0.127,0.242,0.093,0.600,0.108,0.271,0.197,0.760,0.033,0.000
model.000.02.pdb,0.608,0.085,0.686,0.079,0.809,0.118,0.200,0.098,0.617,0.115,0.224,0.157,0.750,0.023,0.000
model.000.03.pdb,0.034,0.014,0.067,0.460,0.044,0.532,0.023,0.613,0.024,0.026,0.066,0.071,0.022,0.471,0.141
model.000.04.pdb,0.000,0.015,0.000,0.211,0.000,0.309,0.038,0.288,0.000,0.014,0.027,0.076,0.000,0.403,0.340
model.000.05.pdb,0.540,0.093,0.558,0.000,0.667,0.026,0.281,0.037,0.614,0.125,0.222,0.226,0.681,0.000,0.000
model.000.06.pdb,0.574,0.436,0.393,0.057,0.453,0.100,0.045,0.079,0.511,0.463,0.033,0.028,0.462,0.093,0.000
model.000.07.pdb,0.283,0.724,0.125,0.062,0.145,0.076,0.016,0.056,0.216,0.688,0.000,0.000,0.148,0.188,0.000
model.000.08.pdb,0.236,0.389,0.091,0.000,0.127,0.014,0.123,0.000,0.170,0.421,0.000,0.098,0.129,0.056,0.065
model.000.09.pdb,0.034,0.090,0.080,0.358,0.056,0.516,0.024,0.456,0.024,0.100,0.039,0.023,0.045,0.547,0.125
model.000.10.pdb,0.115,0.000,0.096,0.000,0.139,0.011,0.660,0.044,0.141,0.014,0.134,0.792,0.156,0.022,0.172
model.000.11.pdb,0.451,0.018,0.560,0.072,0.540,0.041,0.228,0.038,0.511,0.034,0.400,0.177,0.551,0.000,0.000
model.000.12.pdb,0.333,0.643,0.153,0.000,0.175,0.000,0.091,0.000,0.261,0.613,0.000,0.068,0.200,0.043,0.023
model.000.13.pdb,0.080,0.101,0.126,0.382,0.102,0.672,0.011,0.545,0.048,0.143,0.025,0.011,0.079,0.619,0.119
model.000.14.pdb,0.804,0.300,0.526,0.051,0.623,0.089,0.179,0.083,0.711,0.353,0.075,0.155,0.667,0.058,0.000
