 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.073,0.324,0.013,0.039,0.174,0.037,0.036,0.062,0.066,0.288,0.087,0.036,0.113,0.284,0.100,0.122,0.177,0.438,0.063,0.000
model.000.01.pdb,0.090,0.033,0.444,0.382,0.200,0.429,0.680,0.122,0.130,0.139,0.556,0.482,0.118,0.153,0.156,0.072,0.094,0.072,0.558,0.113
model.000.02.pdb,0.080,0.034,0.451,0.358,0.194,0.357,0.702,0.113,0.121,0.099,0.509,0.491,0.108,0.113,0.129,0.062,0.100,0.062,0.540,0.090
model.000.03.pdb,0.138,0.507,0.012,0.065,0.024,0.075,0.023,0.023,0.012,0.375,0.034,0.023,0.000,0.348,0.000,0.092,0.027,0.583,0.048,0.092
model.000.04.pdb,0.164,0.638,0.000,0.000,0.013,0.000,0.000,0.169,0.099,0.155,0.000,0.000,0.027,0.122,0.000,0.187,0.029,0.328,0.000,0.113
model.000.05.pdb,0.134,0.000,0.605,0.340,0.211,0.315,0.705,0.175,0.190,0.028,0.471,0.644,0.175,0.028,0.226,0.111,0.109,0.000,0.440,0.111
model.000.06.pdb,0.090,0.012,0.269,0.164,0.535,0.172,0.500,0.109,0.138,0.061,0.636,0.420,0.362,0.060,0.442,0.116,0.450,0.069,0.533,0.013
model.000.07.pdb,0.063,0.000,0.111,0.018,0.622,0.000,0.179,0.083,0.132,0.049,0.294,0.182,0.450,0.048,0.514,0.127,0.733,0.060,0.235,0.000
model.000.08.pdb,0.264,0.055,0.224,0.036,0.395,0.000,0.179,0.327,0.429,0.000,0.245,0.226,0.657,0.000,0.556,0.392,0.368,0.014,0.125,0.029
model.000.09.pdb,0.098,0.389,0.012,0.038,0.122,0.049,0.047,0.073,0.078,0.318,0.047,0.035,0.066,0.313,0.053,0.133,0.119,0.424,0.036,0.033
model.000.10.pdb,0.410,0.103,0.254,0.400,0.039,0.110,0.149,0.377,0.295,0.000,0.104,0.235,0.055,0.000,0.071,0.286,0.014,0.034,0.065,0.667
model.000.11.pdb,0.074,0.000,0.435,0.362,0.100,0.478,0.500,0.109,0.119,0.111,0.333,0.365,0.067,0.109,0.088,0.069,0.036,0.013,0.353,0.085
model.000.12.pdb,0.145,0.014,0.217,0.038,0.600,0.000,0.240,0.196,0.273,0.000,0.378,0.298,0.688,0.000,0.733,0.241,0.600,0.000,0.229,0.015
model.000.13.pdb,0.081,0.338,0.012,0.037,0.162,0.073,0.057,0.058,0.062,0.343,0.108,0.046,0.091,0.379,0.065,0.115,0.130,0.540,0.127,0.021
model.000.14.pdb,0.123,0.011,0.500,0.304,0.471,0.242,0.723,0.176,0.210,0.026,0.800,0.569,0.327,0.067,0.365,0.147,0.314,0.062,0.625,0.103
model.000.15.pdb,0.097,0.493,0.011,0.045,0.011,0.141,0.041,0.053,0.033,0.456,0.052,0.020,0.000,0.493,0.000,0.071,0.012,0.656,0.089,0.050
model.000.16.pdb,0.102,0.372,0.000,0.048,0.139,0.082,0.043,0.067,0.071,0.362,0.079,0.022,0.073,0.397,0.062,0.135,0.123,0.578,0.094,0.041
model.000.17.pdb,0.283,0.024,0.321,0.511,0.045,0.161,0.188,0.210,0.228,0.028,0.134,0.293,0.046,0.027,0.082,0.157,0.000,0.038,0.106,0.500
model.000.18.pdb,0.333,0.024,0.500,0.634,0.113,0.145,0.293,0.298,0.327,0.000,0.210,0.451,0.117,0.000,0.161,0.212,0.034,0.026,0.180,0.379
model.000.19.pdb,0.000,0.013,0.154,0.094,0.250,0.265,0.294,0.000,0.000,0.123,0.435,0.250,0.115,0.182,0.167,0.000,0.209,0.127,0.615,0.000
