 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.314,0.361,0.183,0.000,0.228,0.000,0.167,0.000,0.271,0.359,0.000,0.138,0.232,0.014,0.021,0.208,0.196,0.038,0.463,0.548
model.000.01.pdb,0.121,0.217,0.054,0.014,0.055,0.069,0.111,0.038,0.079,0.277,0.000,0.090,0.070,0.171,0.196,0.044,0.133,0.000,0.523,0.571
model.000.02.pdb,0.423,0.037,0.393,0.014,0.453,0.041,0.346,0.038,0.447,0.053,0.260,0.304,0.462,0.000,0.000,0.543,0.283,0.605,0.081,0.038
model.000.03.pdb,0.562,0.500,0.362,0.071,0.393,0.114,0.044,0.092,0.468,0.564,0.000,0.028,0.400,0.107,0.000,0.412,0.062,0.192,0.193,0.191
model.000.04.pdb,0.020,0.000,0.069,0.465,0.029,0.408,0.042,0.493,0.021,0.011,0.134,0.096,0.029,0.366,0.197,0.031,0.089,0.022,0.043,0.000
model.000.05.pdb,0.640,0.333,0.509,0.108,0.574,0.164,0.068,0.139,0.551,0.388,0.060,0.052,0.527,0.125,0.000,0.549,0.086,0.302,0.119,0.125
model.000.06.pdb,0.033,0.000,0.102,0.576,0.067,0.477,0.023,0.554,0.024,0.013,0.123,0.022,0.056,0.384,0.088,0.034,0.024,0.039,0.000,0.000
model.000.07.pdb,0.028,0.034,0.097,0.473,0.067,0.493,0.061,0.560,0.010,0.044,0.114,0.069,0.057,0.444,0.125,0.019,0.051,0.032,0.052,0.034
model.000.08.pdb,0.328,0.031,0.348,0.012,0.443,0.011,0.588,0.045,0.386,0.044,0.254,0.448,0.426,0.000,0.000,0.414,0.463,0.309,0.147,0.119
model.000.09.pdb,0.010,0.038,0.051,0.320,0.030,0.457,0.044,0.408,0.011,0.062,0.035,0.054,0.020,0.529,0.231,0.021,0.057,0.000,0.150,0.127
model.000.10.pdb,0.071,0.143,0.093,0.429,0.057,0.550,0.012,0.463,0.037,0.152,0.013,0.011,0.034,0.661,0.127,0.036,0.000,0.027,0.092,0.092
model.000.11.pdb,0.136,0.000,0.129,0.070,0.173,0.022,0.544,0.064,0.162,0.000,0.209,0.625,0.160,0.010,0.090,0.187,0.536,0.162,0.164,0.043
model.000.12.pdb,0.254,0.556,0.147,0.057,0.167,0.116,0.014,0.093,0.214,0.622,0.000,0.000,0.152,0.302,0.038,0.164,0.015,0.070,0.155,0.122
model.000.13.pdb,0.043,0.039,0.122,0.426,0.099,0.639,0.045,0.667,0.022,0.051,0.036,0.043,0.065,0.641,0.147,0.044,0.034,0.037,0.023,0.026
model.000.14.pdb,0.000,0.000,0.000,0.048,0.000,0.062,0.017,0.074,0.000,0.000,0.000,0.032,0.000,0.090,0.314,0.000,0.035,0.000,0.036,0.000
model.000.15.pdb,0.375,0.500,0.167,0.000,0.211,0.015,0.088,0.014,0.304,0.529,0.000,0.066,0.214,0.072,0.022,0.189,0.111,0.039,0.372,0.424
model.000.16.pdb,0.030,0.012,0.080,0.444,0.049,0.466,0.031,0.556,0.021,0.023,0.094,0.051,0.019,0.436,0.164,0.031,0.032,0.011,0.032,0.012
model.000.17.pdb,0.565,0.174,0.434,0.014,0.531,0.027,0.259,0.039,0.650,0.208,0.070,0.203,0.510,0.000,0.000,0.533,0.222,0.283,0.204,0.233
model.000.18.pdb,0.451,0.018,0.418,0.042,0.510,0.041,0.373,0.025,0.478,0.034,0.286,0.304,0.551,0.000,0.000,0.614,0.333,0.525,0.098,0.122
model.000.19.pdb,0.011,0.000,0.033,0.268,0.011,0.368,0.036,0.380,0.012,0.013,0.026,0.072,0.011,0.420,0.268,0.024,0.050,0.000,0.064,0.029
