 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,1.000,0.015,0.164,0.176,0.000,0.209,0.061,0.250,0.419,0.141,0.206,0.095,0.000,0.130,0.065,0.206,0.175,0.040,0.283,0.246
model.000.01.pdb,0.015,1.000,0.012,0.040,0.463,0.039,0.012,0.393,0.157,0.029,0.396,0.034,0.514,0.407,0.013,0.480,0.066,0.070,0.364,0.321
model.000.02.pdb,0.164,0.012,1.000,0.021,0.026,0.054,0.529,0.066,0.083,0.607,0.069,0.603,0.000,0.033,0.547,0.045,0.000,0.462,0.044,0.081
model.000.03.pdb,0.176,0.040,0.021,1.000,0.014,0.661,0.076,0.150,0.090,0.000,0.128,0.020,0.045,0.184,0.080,0.114,0.612,0.011,0.156,0.100
model.000.04.pdb,0.000,0.463,0.026,0.014,1.000,0.000,0.000,0.175,0.100,0.015,0.167,0.117,0.486,0.180,0.000,0.207,0.017,0.220,0.127,0.129
model.000.05.pdb,0.209,0.039,0.054,0.661,0.000,1.000,0.064,0.134,0.088,0.012,0.113,0.050,0.029,0.182,0.056,0.099,0.538,0.011,0.139,0.099
model.000.06.pdb,0.061,0.012,0.529,0.076,0.000,0.064,1.000,0.010,0.000,0.438,0.011,0.461,0.000,0.010,0.804,0.011,0.024,0.366,0.000,0.022
model.000.07.pdb,0.250,0.393,0.066,0.150,0.175,0.134,0.010,1.000,0.521,0.076,0.833,0.030,0.148,0.731,0.022,0.796,0.197,0.071,0.854,0.833
model.000.08.pdb,0.419,0.157,0.083,0.090,0.100,0.088,0.000,0.521,1.000,0.082,0.468,0.024,0.020,0.340,0.000,0.468,0.132,0.060,0.556,0.533
model.000.09.pdb,0.141,0.029,0.607,0.000,0.015,0.012,0.438,0.076,0.082,1.000,0.066,0.540,0.000,0.051,0.426,0.052,0.000,0.431,0.038,0.095
model.000.10.pdb,0.206,0.396,0.069,0.128,0.167,0.113,0.011,0.833,0.468,0.066,1.000,0.031,0.138,0.720,0.023,0.826,0.172,0.075,0.809,0.826
model.000.11.pdb,0.095,0.034,0.603,0.020,0.117,0.050,0.461,0.030,0.024,0.540,0.031,1.000,0.051,0.041,0.472,0.031,0.000,0.619,0.010,0.042
model.000.12.pdb,0.000,0.514,0.000,0.045,0.486,0.029,0.000,0.148,0.020,0.000,0.138,0.051,1.000,0.172,0.000,0.200,0.075,0.046,0.136,0.082
model.000.13.pdb,0.130,0.407,0.033,0.184,0.180,0.182,0.010,0.731,0.340,0.051,0.720,0.041,0.172,1.000,0.022,0.720,0.242,0.073,0.673,0.654
model.000.14.pdb,0.065,0.013,0.547,0.080,0.000,0.056,0.804,0.022,0.000,0.426,0.023,0.472,0.000,0.022,1.000,0.023,0.025,0.415,0.000,0.034
model.000.15.pdb,0.206,0.480,0.045,0.114,0.207,0.099,0.011,0.796,0.468,0.052,0.826,0.031,0.200,0.720,0.023,1.000,0.154,0.062,0.735,0.750
model.000.16.pdb,0.175,0.066,0.000,0.612,0.017,0.538,0.024,0.197,0.132,0.000,0.172,0.000,0.075,0.242,0.025,0.154,1.000,0.000,0.206,0.136
model.000.17.pdb,0.040,0.070,0.462,0.011,0.220,0.011,0.366,0.071,0.060,0.431,0.075,0.619,0.046,0.073,0.415,0.062,0.000,1.000,0.036,0.089
model.000.18.pdb,0.283,0.364,0.044,0.156,0.127,0.139,0.000,0.854,0.556,0.038,0.809,0.010,0.136,0.673,0.000,0.735,0.206,0.036,1.000,0.771
model.000.19.pdb,0.246,0.321,0.081,0.100,0.129,0.099,0.022,0.833,0.533,0.095,0.826,0.042,0.082,0.654,0.034,0.750,0.136,0.089,0.771,1.000
