 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.153,0.015,0.288,0.000,0.156,0.000,0.190,0.000,0.304,0.000,0.354,0.000,0.172,0.000,0.055,0.021,0.014,0.000,0.011,0.028
model.000.01.pdb,0.119,0.188,0.104,0.000,0.038,0.049,0.056,0.074,0.096,0.062,0.333,0.044,0.103,0.050,0.016,0.191,0.238,0.048,0.115,0.212
model.000.02.pdb,0.271,0.000,0.451,0.045,0.473,0.000,0.434,0.048,0.429,0.000,0.091,0.022,0.293,0.024,0.354,0.000,0.000,0.011,0.010,0.000
model.000.03.pdb,0.056,0.069,0.471,0.000,0.323,0.048,0.328,0.158,0.421,0.036,0.141,0.067,0.056,0.062,0.000,0.000,0.039,0.072,0.089,0.080
model.000.04.pdb,0.094,0.309,0.020,0.266,0.067,0.657,0.039,0.410,0.038,0.620,0.097,0.667,0.094,0.562,0.092,0.211,0.350,0.573,0.628,0.341
model.000.05.pdb,0.078,0.105,0.519,0.000,0.483,0.044,0.527,0.203,0.571,0.057,0.111,0.120,0.078,0.095,0.028,0.000,0.036,0.103,0.094,0.100
model.000.06.pdb,0.033,0.357,0.033,0.219,0.099,0.522,0.080,0.472,0.065,0.552,0.034,0.701,0.033,0.537,0.024,0.087,0.329,0.698,0.589,0.375
model.000.07.pdb,0.068,0.423,0.028,0.154,0.084,0.532,0.067,0.564,0.045,0.558,0.070,0.646,0.078,0.526,0.053,0.138,0.430,0.597,0.671,0.513
model.000.08.pdb,0.483,0.036,0.441,0.110,0.415,0.032,0.403,0.043,0.400,0.032,0.169,0.029,0.536,0.022,0.407,0.000,0.011,0.042,0.038,0.011
model.000.09.pdb,0.053,0.530,0.021,0.067,0.039,0.500,0.031,0.493,0.040,0.507,0.169,0.429,0.042,0.416,0.034,0.246,0.515,0.487,0.564,0.544
model.000.10.pdb,0.011,0.586,0.047,0.062,0.078,0.360,0.082,0.537,0.079,0.403,0.048,0.405,0.000,0.389,0.000,0.125,0.469,0.425,0.468,0.655
model.000.11.pdb,0.603,0.033,0.195,0.239,0.179,0.106,0.146,0.019,0.153,0.108,0.216,0.087,0.632,0.074,0.596,0.072,0.032,0.039,0.106,0.010
model.000.12.pdb,0.014,0.206,0.233,0.000,0.125,0.062,0.118,0.160,0.194,0.076,0.075,0.067,0.014,0.063,0.000,0.037,0.238,0.073,0.115,0.231
model.000.13.pdb,0.054,0.597,0.032,0.094,0.095,0.514,0.100,0.667,0.096,0.565,0.044,0.639,0.054,0.597,0.035,0.145,0.464,0.609,0.579,0.515
model.000.14.pdb,0.048,0.117,0.000,0.196,0.000,0.222,0.000,0.083,0.000,0.188,0.125,0.147,0.031,0.154,0.018,0.343,0.131,0.162,0.158,0.060
model.000.15.pdb,0.098,0.015,0.347,0.000,0.141,0.000,0.172,0.013,0.241,0.000,0.231,0.000,0.098,0.013,0.000,0.043,0.061,0.000,0.011,0.059
model.000.16.pdb,0.061,0.359,0.020,0.266,0.067,0.634,0.060,0.463,0.058,0.620,0.052,0.689,0.050,0.562,0.033,0.178,0.350,0.662,0.649,0.375
model.000.17.pdb,0.217,0.014,0.636,0.000,0.411,0.012,0.480,0.049,0.592,0.012,0.228,0.011,0.237,0.012,0.145,0.000,0.000,0.024,0.022,0.013
model.000.18.pdb,0.316,0.000,0.510,0.045,0.528,0.000,0.520,0.036,0.509,0.000,0.125,0.044,0.339,0.012,0.275,0.000,0.000,0.011,0.010,0.000
model.000.19.pdb,0.096,0.333,0.011,0.246,0.032,0.594,0.022,0.392,0.032,0.554,0.100,0.461,0.046,0.493,0.066,0.286,0.424,0.507,0.507,0.315
