 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.025,0.096,0.375,0.000,0.169,0.000,0.423,0.044,0.000,0.403,0.059,0.606,0.108,0.045,0.412,0.047,0.000,0.559,0.022,0.059
model.000.01.pdb,0.234,0.375,0.079,0.152,0.141,0.136,0.032,0.820,0.500,0.077,0.776,0.051,0.131,0.712,0.045,0.776,0.200,0.085,0.760,0.706
model.000.02.pdb,0.190,0.352,0.057,0.115,0.131,0.114,0.033,0.706,0.417,0.053,0.729,0.053,0.102,0.735,0.047,0.694,0.156,0.090,0.750,0.694
model.000.03.pdb,0.090,0.025,0.619,0.078,0.026,0.101,0.600,0.032,0.000,0.452,0.045,0.535,0.000,0.033,0.707,0.033,0.037,0.439,0.011,0.045
model.000.04.pdb,0.026,0.000,0.391,0.123,0.014,0.108,0.508,0.000,0.000,0.273,0.000,0.338,0.000,0.000,0.453,0.000,0.026,0.236,0.000,0.000
model.000.05.pdb,0.186,0.360,0.000,0.171,0.123,0.153,0.000,0.673,0.340,0.000,0.660,0.000,0.200,0.739,0.000,0.696,0.232,0.013,0.717,0.592
model.000.06.pdb,0.031,0.757,0.024,0.013,0.525,0.013,0.012,0.386,0.200,0.043,0.364,0.083,0.425,0.426,0.013,0.471,0.031,0.132,0.333,0.339
model.000.07.pdb,0.000,0.405,0.026,0.000,0.667,0.000,0.039,0.106,0.038,0.048,0.113,0.149,0.545,0.127,0.027,0.150,0.000,0.183,0.094,0.078
model.000.08.pdb,0.000,0.341,0.026,0.074,0.310,0.042,0.026,0.106,0.019,0.031,0.095,0.037,0.594,0.145,0.000,0.150,0.091,0.029,0.094,0.045
model.000.09.pdb,0.050,0.051,0.384,0.032,0.114,0.032,0.431,0.032,0.000,0.413,0.057,0.612,0.057,0.044,0.400,0.045,0.012,0.567,0.033,0.057
model.000.10.pdb,0.194,0.040,0.021,0.878,0.014,0.632,0.065,0.179,0.106,0.000,0.158,0.020,0.045,0.216,0.068,0.128,0.612,0.011,0.187,0.128
model.000.11.pdb,0.340,0.226,0.063,0.129,0.034,0.111,0.012,0.549,0.429,0.059,0.562,0.022,0.075,0.481,0.013,0.531,0.179,0.013,0.652,0.562
model.000.12.pdb,0.000,0.486,0.000,0.045,0.500,0.029,0.000,0.150,0.042,0.000,0.140,0.038,0.808,0.196,0.000,0.204,0.077,0.047,0.138,0.083
model.000.13.pdb,0.036,0.090,0.425,0.021,0.191,0.020,0.413,0.088,0.053,0.460,0.080,0.657,0.055,0.090,0.403,0.067,0.012,0.702,0.043,0.092
model.000.14.pdb,0.070,0.682,0.033,0.114,0.400,0.127,0.011,0.571,0.255,0.038,0.585,0.042,0.347,0.623,0.011,0.585,0.154,0.089,0.518,0.474
model.000.15.pdb,0.116,0.033,0.738,0.049,0.034,0.058,0.620,0.080,0.060,0.578,0.095,0.579,0.000,0.060,0.594,0.072,0.000,0.432,0.050,0.106
model.000.16.pdb,0.046,0.072,0.440,0.040,0.164,0.030,0.410,0.073,0.050,0.477,0.076,0.691,0.052,0.063,0.400,0.065,0.023,0.683,0.031,0.088
model.000.17.pdb,0.268,0.062,0.023,0.566,0.000,0.615,0.023,0.221,0.143,0.013,0.197,0.022,0.034,0.266,0.037,0.162,0.628,0.013,0.231,0.179
model.000.18.pdb,0.207,0.153,0.000,0.464,0.032,0.431,0.000,0.323,0.167,0.000,0.300,0.000,0.111,0.356,0.000,0.279,0.568,0.000,0.339,0.238
model.000.19.pdb,0.089,0.405,0.068,0.000,0.341,0.000,0.013,0.404,0.286,0.065,0.438,0.076,0.159,0.365,0.027,0.408,0.000,0.164,0.321,0.438
