 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.481,0.170,0.355,0.000,0.431,0.000,0.382,0.011,0.480,0.179,0.150,0.317,0.414,0.000,0.000,0.453,0.345,0.264,0.281,0.271
model.000.01.pdb,0.000,0.000,0.024,0.174,0.000,0.273,0.041,0.290,0.000,0.000,0.029,0.081,0.000,0.369,0.442,0.000,0.056,0.000,0.104,0.051
model.000.02.pdb,0.246,0.018,0.212,0.000,0.274,0.000,0.756,0.037,0.296,0.033,0.161,0.596,0.279,0.000,0.018,0.327,0.628,0.212,0.190,0.140
model.000.03.pdb,0.161,0.256,0.070,0.000,0.087,0.042,0.133,0.026,0.100,0.318,0.000,0.109,0.088,0.143,0.178,0.062,0.158,0.000,0.477,0.606
model.000.04.pdb,0.000,0.088,0.000,0.127,0.000,0.277,0.013,0.275,0.000,0.100,0.000,0.013,0.000,0.544,0.298,0.000,0.014,0.000,0.123,0.130
model.000.05.pdb,0.774,0.246,0.633,0.068,0.702,0.102,0.200,0.097,0.630,0.290,0.153,0.163,0.684,0.052,0.000,0.625,0.173,0.373,0.192,0.154
model.000.06.pdb,0.500,0.111,0.745,0.130,0.653,0.157,0.072,0.147,0.469,0.164,0.175,0.055,0.702,0.062,0.000,0.596,0.075,0.383,0.044,0.073
model.000.07.pdb,0.010,0.039,0.041,0.342,0.031,0.443,0.022,0.472,0.011,0.050,0.024,0.078,0.020,0.472,0.197,0.022,0.070,0.000,0.034,0.013
model.000.08.pdb,0.029,0.080,0.000,0.043,0.000,0.154,0.030,0.111,0.000,0.094,0.000,0.029,0.000,0.250,0.514,0.000,0.031,0.000,0.226,0.233
model.000.09.pdb,0.667,0.216,0.474,0.026,0.566,0.064,0.267,0.048,0.762,0.269,0.131,0.215,0.547,0.035,0.000,0.674,0.233,0.367,0.177,0.196
model.000.10.pdb,0.156,0.014,0.148,0.047,0.179,0.011,0.700,0.043,0.186,0.027,0.200,0.692,0.182,0.021,0.077,0.211,0.694,0.134,0.242,0.111
model.000.11.pdb,0.075,0.097,0.216,0.593,0.127,0.413,0.000,0.469,0.039,0.125,0.210,0.000,0.114,0.362,0.000,0.078,0.000,0.106,0.013,0.015
model.000.12.pdb,0.000,0.022,0.000,0.143,0.000,0.218,0.053,0.180,0.000,0.020,0.000,0.068,0.000,0.220,0.552,0.000,0.055,0.000,0.096,0.047
model.000.13.pdb,0.577,0.103,0.755,0.123,0.667,0.149,0.164,0.111,0.551,0.153,0.203,0.141,0.714,0.059,0.000,0.681,0.134,0.468,0.071,0.086
model.000.14.pdb,0.011,0.014,0.022,0.264,0.022,0.403,0.024,0.356,0.012,0.013,0.013,0.047,0.011,0.414,0.241,0.011,0.024,0.000,0.077,0.091
model.000.15.pdb,0.593,0.172,0.500,0.036,0.648,0.085,0.262,0.093,0.667,0.200,0.136,0.214,0.630,0.033,0.000,0.566,0.231,0.327,0.129,0.117
model.000.16.pdb,0.415,0.357,0.386,0.154,0.368,0.182,0.014,0.137,0.327,0.386,0.103,0.000,0.351,0.169,0.000,0.358,0.015,0.319,0.079,0.057
model.000.17.pdb,0.622,0.222,0.375,0.028,0.551,0.027,0.255,0.025,0.675,0.229,0.088,0.200,0.500,0.013,0.000,0.522,0.218,0.277,0.179,0.227
model.000.18.pdb,0.000,0.000,0.000,0.133,0.000,0.257,0.052,0.257,0.000,0.000,0.014,0.120,0.000,0.368,0.320,0.000,0.097,0.000,0.054,0.015
model.000.19.pdb,0.031,0.080,0.084,0.500,0.041,0.545,0.022,0.486,0.022,0.076,0.114,0.021,0.052,0.507,0.111,0.032,0.022,0.049,0.057,0.053
