 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.053,0.000,0.013,0.571,0.011,0.500,0.474,0.022,0.438,0.315,0.089,0.013,0.451,0.268,0.000,0.594,0.013,0.000,0.655
model.000.01.pdb,0.488,0.511,0.133,0.169,0.032,0.152,0.012,0.062,0.215,0.148,0.091,0.178,0.133,0.046,0.017,0.333,0.043,0.269,0.172,0.063
model.000.02.pdb,0.235,0.077,0.591,0.365,0.020,0.472,0.023,0.019,0.446,0.011,0.024,0.222,0.148,0.033,0.000,0.216,0.020,0.581,0.591,0.012
model.000.03.pdb,0.000,0.038,0.012,0.025,0.697,0.023,0.683,0.519,0.045,0.427,0.342,0.124,0.025,0.479,0.123,0.000,0.697,0.026,0.012,0.508
model.000.04.pdb,0.040,0.269,0.000,0.049,0.402,0.045,0.333,0.446,0.011,0.594,0.443,0.073,0.214,0.459,0.152,0.055,0.402,0.000,0.000,0.403
model.000.05.pdb,0.078,0.027,0.407,0.041,0.128,0.077,0.105,0.110,0.554,0.041,0.022,0.709,0.000,0.100,0.000,0.030,0.093,0.213,0.333,0.034
model.000.06.pdb,0.015,0.321,0.028,0.136,0.195,0.155,0.177,0.282,0.000,0.478,0.579,0.011,0.396,0.366,0.066,0.082,0.253,0.029,0.000,0.268
model.000.07.pdb,0.029,0.167,0.000,0.013,0.486,0.012,0.297,0.333,0.000,0.417,0.292,0.118,0.069,0.370,0.259,0.030,0.408,0.000,0.000,0.525
model.000.08.pdb,0.109,0.054,0.322,0.039,0.125,0.075,0.066,0.087,0.508,0.040,0.011,0.684,0.000,0.063,0.078,0.061,0.091,0.206,0.322,0.080
model.000.09.pdb,0.304,0.098,0.426,0.388,0.021,0.415,0.024,0.020,0.418,0.022,0.012,0.197,0.175,0.023,0.000,0.283,0.021,0.711,0.457,0.012
model.000.10.pdb,0.172,0.051,0.519,0.297,0.057,0.452,0.098,0.104,0.431,0.029,0.065,0.205,0.108,0.094,0.000,0.156,0.067,0.429,0.577,0.010
model.000.11.pdb,0.023,0.157,0.021,0.128,0.416,0.169,0.474,0.560,0.039,0.494,0.672,0.046,0.231,0.587,0.048,0.048,0.432,0.022,0.032,0.287
model.000.12.pdb,0.044,0.186,0.052,0.170,0.375,0.183,0.375,0.489,0.076,0.530,0.595,0.101,0.291,0.562,0.057,0.080,0.419,0.064,0.010,0.356
model.000.13.pdb,0.092,0.054,0.345,0.026,0.149,0.062,0.090,0.097,0.508,0.030,0.011,0.684,0.000,0.074,0.000,0.045,0.102,0.206,0.322,0.068
model.000.14.pdb,0.034,0.000,0.447,0.113,0.077,0.226,0.115,0.108,0.362,0.022,0.037,0.178,0.000,0.046,0.000,0.017,0.054,0.200,0.511,0.000
model.000.15.pdb,0.000,0.203,0.000,0.000,0.403,0.000,0.304,0.359,0.000,0.455,0.318,0.060,0.109,0.403,0.240,0.016,0.384,0.000,0.000,0.500
model.000.16.pdb,0.357,0.600,0.016,0.161,0.093,0.091,0.037,0.076,0.042,0.254,0.159,0.051,0.208,0.101,0.078,0.302,0.093,0.127,0.032,0.143
model.000.17.pdb,0.180,0.053,0.519,0.311,0.048,0.450,0.077,0.086,0.500,0.040,0.044,0.228,0.113,0.097,0.000,0.164,0.048,0.453,0.612,0.011
model.000.18.pdb,0.000,0.070,0.034,0.045,0.671,0.042,0.586,0.549,0.084,0.481,0.367,0.170,0.045,0.554,0.078,0.000,0.584,0.034,0.034,0.440
model.000.19.pdb,0.177,0.096,0.290,0.095,0.122,0.114,0.065,0.075,0.542,0.050,0.021,0.633,0.026,0.062,0.014,0.125,0.078,0.258,0.356,0.079
